PMID,TI,AB,JT,DP,PL,YY,year
18462561,A comparison of the socio-economic determinants of growth retardation in South African and Filipino infants.,"OBJECTIVE: To examine the association between household socio-economic status (SES) at birth and poor infant growth such as small for gestational age (SGA) and stunting across two different socio-cultural settings: South Africa and the Philippines. DESIGN: Data were from two longitudinal birth cohorts, the Birth to Twenty (Bt20) study in South Africa and the Cebu Longitudinal Health and Nutrition Survey (CLHNS) in the Philippines. SUBJECTS: Bt20 infants (n 2293 total; reduced to 758 (SGA), 450 (stunting 1 year) and 401 (stunting 2 years)) and CLHNS infants (n 2513 total; reduced to 2161 (SGA), 1820 (stunting 1 year) and 1710 (stunting 2 years)). RESULTS: CLHNS infants were significantly more likely to be born SGA (20.9 v. 11.7 %) and be stunted at 1 year (32.6 v. 8.7 %) and 2 years (48.9 v. 21.1 %) compared with Bt20 infants. Logistic regression analyses showed that SES (index) was a significant predictor of stunting at 1 and 2 years of age in the CLHNS cohort. SES (index or individual variables) was not a significant predictor of SGA in either cohort, or of stunting in the Bt20 cohort. Maternal education, ownership of a television and toilet facilities were all independent predictors of stunting in the CLHNS cohort. CONCLUSIONS: The social and economic milieu within the Philippines appears to place CLHNS infants at greater risk of being born SGA and being stunted compared with Bt20 infants. The present research highlights the importance of investigating the individual SES variables that predict infantile growth faltering, to identify the key areas for context-specific policy development and intervention.",Public health nutrition,2008 Dec,England,2008,00
10748986,The residency decision of elderly Indonesians: a nested logit analysis.,"This paper is the first study of which the author is aware that examines elderly Indonesians' residency decisions. The 1993 Indonesian Family Life Survey provides detailed data on the living children of a sample of elderly individuals. This allows a nested logit to be estimated, which pays due respect to the role of children's characteristics in determining the residency outcome. The estimated earnings potentials of the parents and their children are included as explanatory variables but are not found to be important determinants of coresidency.",Demography,2000 Feb,United States,2000,00
25035522,Do Moral Communities Play a Role in Criminal Sentencing? Evidence From Pennsylvania.,"Religion and social control have been a sociological concern since Durkheim and Weber, and the relationship between religion and punishment has long been the subject of speculation. However, surprisingly little empirical research exists on the role of religion or religious context in criminal justice, and almost no research on the role of religious context on actual sentencing practices. We conceptualize the potential relationships between religious context and sentencing severity by drawing from the focal concerns and court community perspectives in the sentencing literature and moral communities theory developed by Rodney Stark. We suspect that Christian moral communities might shape notions of perceived blameworthiness for court community actors. Such moral communities might also affect notions of community protection - affecting perceptions of dangerousness, or perhaps rehabilitation, and might influence practical constraints/consequences (e.g., local political ramifications of harsh or lenient sentences). We examine these questions using a set of hierarchical models using sentencing data from Pennsylvania county courts and data on the religious composition of Pennsylvania counties from the Associated Religion Data Archives. We find that county Christian religious homogeneity increases the likelihood of incarceration. In addition, Christian homogeneity as well as the prevalence of civically engaged denominations in a county condition the effects of important legally relevant determinants of incarceration. Furthermore, we find evidence that Christian homogeneity activates the effect of local Republican electoral dominance on incarceration. We argue that Christian homogeneity effects sentencing practices primarily through local political processes that shape the election of judges and prosecutors.",The Sociological quarterly,2008,United States,2008,00
12864889,End-stage renal disease in sub-Saharan and South Africa.,"The major health problems in Africa are AIDS, tuberculosis, malaria, gastroenteritis and hypertension; hypertension affects about 20% of the adult population. Renal disease, especially glomerular disease, is more prevalent in Africa and seems to be of a more severe form than that found in Western countries. The most common mode of presentation is the nephrotic syndrome, with the age of onset at five to eight years. It is estimated that 2 to 3% of medical admissions in tropical countries are due to renal-related complaints, the majority being the glomerulonephritides. There are no reliable statistics for ESRD in all African countries. Statistics of the South African Dialysis and Transplant Registry (SADTR) reflect the patients selected for renal replacement therapy (RRT) and do not accurately reflect the etiology of chronic renal failure (CRF), where public sector state facilities will offer RRT only to patients who are eligible for a transplant. In 1994, glomerulonephritis was recorded as the cause of ESRD in 1771 (52.1%) and hypertension in 1549 (45.6%) of patients by the SADTR. In a six-year study of 3632 patients with ESRD, based on SADTR statistics, hypertension was reported to be the cause of ESRD in 4.3% of whites, 34.6% of blacks, 20.9% mixed race group and 13.8% of Indians. Malignant hypertension is an important cause of morbidity and mortality among urban black South Africans, with hypertension accounting for 16% of all hospital admissions. In a ten-year study of 368 patients with chronic renal failure in Nigeria, the etiology of renal failure was undetermined in 62%. Of the remaining patients whose etiology was ascertained, hypertension accounted for 61%, diabetes mellitus for 11% and chronic glomerulonephritis for 5.9%. Patients with CRF constituted 10% of all medical admissions in this center. Chronic glomerulonephritis and hypertension are principal causes of CRF in tropical Africa and East Africa, together with diabetes mellitus and obstructive uropathy. The availability of dialysis and transplantation is quite variable in Africa: treatment rates in North Africa are 30 to 186.5 per million population (pmp) in countries with more established programs: Algeria 78.5; Egypt 129.3; Libya 30; Morocco 55.6; Tunisia 186.5 pmp. In South Africa, treatment rates of 99 pmp were reported; Dialysis and transplant programs in the rest of Africa are dependent on the availability of funding and donors. Services are still predominantly urban and therefore generally inaccessible to the poorer, less educated rural patient. There is not enough money for healthcare in the developing world, particularly for expensive and chronic treatment such as RRT. The goal should be to have a circumscribed chronic dialysis program, with as short a time on dialysis as possible, and to increase the availability of transplantation (both living donor and cadaver). Efforts should be made to optimize therapy of renal disease and renal failure globally and particularly in developing countries. Strategies should be developed to screen for and manage conditions such as hypertension and diabetes mellitus at the primary healthcare level in an effort to decrease the incidence of chronic renal failure. Increasingly, health is influenced by social and economic circumstances. Any improvements in health thus demand integrated, comprehensive action against all the determinants of ill health.",Kidney international. Supplement,2003 Feb,United States,2003,00
15249522,Adjusting for case mix and social class in examining variation in home visits between practices.,"OBJECTIVES: The purpose of this study was to investigate whether adjusting for clinical case mix and social class explains more of the variation in home visits between general practices than adjusting for age and sex alone. METHODS: The setting was 60 general practices in England and Wales taking part in the 1 year Fourth National Morbidity Survey. The participants comprised 349 505 patients who were registered with one of the participating general practices for at least 180 days, and who had at least one consultation during the period. The outcome measure is whether or not a patient received a home visit in that year. A clinical case mix category (morbidity class) based on 1 year's diagnostic information was assigned to each patient using the Johns Hopkins Adjusted Clinical Groups (ACG) Case Mix System. The social class measure was derived from occupation and employment status and is similar to that of the 1991 UK census. Variations in home visits between practices were examined using multilevel logistic regression models. The variability between practices before and after adjusting for clinical case mix and social class was estimated using the intracluster correlation coefficient (ICC). RESULTS: The overall percentage of patients receiving a home visit over the 1 year study period was 17%, and this varied from 7 to 31% across the 60 practices. The percentage of the total variation in home visits attributable to differences between practices was 2.5% [95% confidence interval (CI) 1.4-3.2%] after adjusting for age and sex. This reduced to 1.6% (95% CI 1.1-2.4%) after taking into account morbidity class. The results were similar when social class was included instead of morbidity class. Morbidity and social class together reduced variation in home visits between practices to 1.5% (95% CI 1.1-2.2%). CONCLUSIONS: Age, sex, social class and clinical case mix are strong determinants of home visits in the UK. Adjusting for morbidity and social class results in a small improvement in explaining the variability in home visits between practices compared with adjusting for age and sex alone. There is far more variation between patients within practices; however, it is not straightforward to examine the factors influencing this variation. In addition to morbidity and social class, there could also be other unmeasured factors such as varying patient demand for home visits, disability or differences in GP home visiting practice style that could influence the large within-practice variability observed in this study.",Family practice,2004 Aug,England,2004,00
11165693,Psychometric properties of the World Health Organisation quality of life questionnaire (WHOQOL-100) in diabetic patients in Croatia.,"UNLABELLED: The aim of the study was to analyse psychometric properties of the WHOQOL-100, a multidimensionally conceptualised, generic, 100-item quality of life (QoL) instrument in a pilot sample of 63 type 2 diabetic patients (age 60.4 (10.1) years), 55% women, disease duration 10.2 (6.2) years, education 10 (5.2) years, 78% married. While covering the subjective perception and evaluation of the overall QoL and general health, as well as four broad domains (physical health, psychological state, social relationships and environment), the instrument may be useful in integrating the individual perception of the QoL. The properties tested referred to reliability, validity in discriminating patients with different disease characteristics, and responsiveness to change. METHODS: Reliability was determined by Cronbach's alpha coefficients of internal consistency. Discriminant validity was determined by comparing the groups of patients with poor and satisfactory glycaemic control, the first group being switched to insulin therapy (intervention group) and the second (comparison group) remaining on oral therapy (35 and 28 patients respectively). Responsiveness to change was determined by comparing the two groups after a 2-month follow-up period. RESULTS: The obtained alpha coefficients were 0.95 for the physical domain, 0.89 for the psychological domain, 0.76 for the social relationships domain, and 0.92 for the domain referring to environment. The interventional and comparison groups rated their QoL differently, primarily in the physical and psychological domains (P<0.01; P<0.05). After a 2-month follow-up period, the intervention group was improved in some QoL determinants (psychological domain), while no differences were found in the control group. CONCLUSION: Relying on the data obtained from the groups of diabetic patients in Croatia, the WHOQOL-100 can be considered as acceptably reliable and valid instrument for the QoL assessment in this particular population of health care users.",Diabetes research and clinical practice,2001 Feb,Ireland,2001,00
12772438,The psychosocial determinants of hypertension.,"AIM: To present currently available evidence on the role that adverse psychosocial factors play in the pathogenesis of hypertension. The specific objectives of the review were to (1) provide a picture of what is known about the relationship between psychosocial factors and hypertension, (2) summarize the major methodological and conceptual pitfalls, and (3) identify gaps in the literature and suggest areas for future research. DATA SYNTHESIS: The scope of the literature review was adults and the literature published since 1990 (acknowledging that some articles published earlier would need to be taken into account). A number of journal searches were carried out. They included Medline, PsychInfo, and SocioFile, with keywords, such as hypertension, blood pressure, psychosocial, psychological, social, acculturation, occupation, socio-economic status, social class, education, depression, anger, and anxiety. The search included articles related to hypertension in developed countries and was limited to studies in the English language. CONCLUSION: A growing body of evidence supports the thesis that psychosocial factors play a role in the pathogenesis for hypertension.","Nutrition, metabolism, and cardiovascular diseases : NMCD",2003 Feb,Netherlands,2003,00
11389564,Living with support in the community: predictors of satisfaction with life.,"Ensuring that people with an intellectual disability have normative levels of life satisfaction is increasingly considered a worthy goal for service providers. This review concerns the determinants of such satisfaction and embeds this literature within the Homeostatic Theory of Subjective Well-Being. This posits that life satisfaction is under considerable endogenous control and, as a consequence, does not normally vary in sympathy with changes in the external environment. This situation changes, however, if the environment is sufficiently aversive to defeat such homeostatic control. Under these conditions the circumstances of living correlate with life satisfaction as they wrest control away from the homeostatic system. One important implication is that the measure of life satisfaction may or may not be a sensitive indicator for changes in service provision, depending on the functional status of the homeostatic system. MRDD Research Reviews 7:99-104, 2001. (c) 2001 Wiley-Liss, Inc.",Mental retardation and developmental disabilities research reviews,2001,United States,2001,00
10682943,Determinants of exercise tolerance after acute myocardial infarction in older persons.,"OBJECTIVES: Exercise tolerance is reduced with advancing age. Identification of potentially reversible determinants of the age-related decrement in exercise tolerance, which remain largely unexplored in older subjects and in patients recovering from a recent myocardial infarction (MI), may have useful therapeutic implications. The objective of this study was to identify the independent determinants of exercise tolerance in older patients with a recent MI. DESIGN, SETTING, AND PARTICIPANTS: Data is from baseline assessment of 265 post-MI patients (age range 45-85 years) enrolled in the Cardiac Rehabilitation in Advanced Age randomized, controlled trial. Patients with major comorbidities or severe MI complications were excluded from the trial. Exercise tolerance was determined from symptom-limited exercise testing and expressed as total work capacity (TWC, kg.m) or peak oxygen consumption (VO2peak, mL/kg/min). The associations between both TWC and VO2peak and baseline demographic, social, clinical, and neuropsychological variables and an index of health-related quality of life were determined with univariate and multivariate analysis. RESULTS: With univariate analysis, TWC decreased by 1285 kg.m per decade of increasing age between 45 and 85 years of age. With multivariate analysis, TWC decreased by 922 kg.m per decade. Increasing age (P < .001), female gender (P < .001), a small body surface area (P < .001), a low level of usual physical exercise before MI (P < .002), and the presence of post-MI depressive symptoms (P < .024) were independently associated with a lower TWC. The same factors, in addition to a small arm muscle area (P < .002), were also independently associated with a lower VO2peak. CONCLUSIONS: Age per se accounts for approximately 70% of the age-related decay in TWC or VO2peak. However, the inclusion of modifiable factors such as physical exercise and depression in the prediction model reinforces the importance of a multidimensional approach to the evaluation and treatment of older patients with a recent MI.",Journal of the American Geriatrics Society,2000 Feb,United States,2000,00
16765763,Health of Indigenous people in Africa.,"Our paper is part of a series focusing on Indigenous peoples' health in different world regions. Indigenous peoples worldwide are subject to marginalisation and discrimination, systematically experiencing poorer health than do majority groups. In Africa, poor health in the general population is widely recognised, but the consistently lower health position and social status of Indigenous peoples are rarely noted. Disputed conceptual understandings of indigeneity, a history of discriminatory colonial and post-colonial policies, and non-recognition of Indigenous groups by some governments complicate the situation. We discuss two case studies, of the central African Pygmy peoples and the San of southern Africa, to illustrate recurring issues in Indigenous health in the continent. We make recommendations for the recognition of Indigenous peoples in Africa and improvements needed in the collection of health data and the provision of services. Finally, we argue that wider changes are needed to address the social determinants of Indigenous peoples' health.","Lancet (London, England)",2006 Jun 10,England,2006,00
