PMID,TI,AB,JT,DP,PL,YY,year
3916715,"Behavior, lifestyle, and socioeconomic variables as determinants of health status: implications for health policy development.","Health promotion has become an official health policy of this country, and it is being pursued through efforts to change individuals' health-related behavior. This approach is based on the assumption that it is in fact an individual's behavior that most directly determines his or her health status. But how good is the evidence that supports this assumption? Specifically, is the evidence sufficient for this assumption to outweigh the long-standing finding that social and economic conditions have a strong relationship to health status? The major support for the behavior approach derives from the coronary heart disease risk-factor studies and the Alameda County Study. In a series of reports over time, the relationship between individuals' health practices and their health status generally, as well as that between heart disease and cancer specifically, have been established by these studies. These observations, however, have not been confirmed when deliberate efforts have been made to change those practices. The evidence in support of the importance of social and economic conditions to health status has been documented through a long series of studies in this country, which have found a direct relationship between individuals' socioeconomic status and their health status. This relationship, however, has not in this country been tested by intervention. Only a few studies have examined the interrelationship between these two approaches to health promotion, but the evidence to date has failed to suggest that either one is the mediator of the other. We must, therefore, conclude that pursuing a policy of health promotion based on either approach to the exclusion of the other would indeed be short-sighted health policy.",American journal of preventive medicine,1985 Sep-Oct,Netherlands,1985,80
3070761,Medical compliance as an ideology.,"Medical compliance researchers have produced more than 4000 scientific papers in the past two decades, but their research into the determinants of non-compliance has been inconclusive. This paper argues that the popularity of compliance and the uncertainty over its determinants can be understood if compliance is analyzed as an ideology that assumes and justifies physician authority. I explore compliance as a problematic concept, looking at its assumptions and its influences on clinical practice. The concept of patient compliance has a social history linked to the struggle to create and maintain physician control over infant feeding technology earlier in this century. But while physicians were successful in that struggle, they have never exercised complete control over health care products. Compliance must be reconceptualized and its research reoriented if it is accurately to portray medication usage and related health behaviors outside the clinic.",Social science & medicine (1982),1988,England,1988,80
6512513,Curiosity and demographic factors as determinants of children's probability-learning strategies.,"Children's curiosity, gender, activity level, and socioeconomic status (SES) were related to their performance on a partially reinforced discrimination-learning task. The 38 boys and 37 girls were in the first grade and were all white. Three factors of curiosity (manipulatory, conceptual, and about the complex) were assessed. Performance on the learning task was scored for the number of correct responses (maximizing) and for the frequency of three-step sequences reflecting variability, systematic patterning, and perseveration. In general, the three curiosity factors related negatively to maximizing and perseveration and positively to variability. (The same effects were found for activity level.) Systematic patterning related positively to one curiosity type and negatively to another. Girls used less maximizing and more systematic patterning than boys. The response choices of girls were affected more by differences in conceptual curiosity and those of boys by differences in curiosity about the complex. Activity level was unrelated to gender but differed with SES. The findings demonstrate the role of different curiosity factors in shaping response sequences and suggest some reasons for children's choice of probability-learning strategies.",The Journal of genetic psychology,1984 Sep,United States,1984,80
4034814,Interpersonal behavior and therapeutic progress: therapists and clients rate themselves and each other.,"To measure the extent to which progress in psychotherapy can be predicted from the interpersonal styles of therapists and clients, 42 outpatients and their 11 therapists rated themselves and each other on Benjamin's Structural Analysis of Social Behavior (SASB) scales. In addition, therapists rated amount of client change and therapy success-failure, based on the outcome section of the Rogers and Dymond (1954) scale, and clients used the Strupp, Fox, and Lessler (1969) questionnaire to evaluate progress-to-date. Clients also completed the Hopkins Symptom Checklist (HSCL) at the start of therapy and after they had completed at least 6 treatment sessions. Canonical analyses indicated that when optimally weighted, SASB scores can predict at least 65% of the reported progress variance, lending credence to claims that ""reflexive social behavior"" and ""the relationship"" are important determinants of certain aspects of therapeutic outcome. Consistent with previous literature, clients reported more satisfaction with therapy when they perceived their therapists as ""warm and freeing,"" but such perceptions were not systematically related to reported symptom reduction. Unfavorable self-concept ratings by therapists and therapist ratings of clients as ""helping or protecting,"" which suggest role reversal, were negatively associated with symptom amelioration.",Psychiatry,1985 Aug,United States,1985,80
12316106,[[A treatise on the change in age structure and its determinants: an appraisal of the World Population Plan of Action]].,"""The purpose of the present paper is to review...recent...trends in population age structure in the world and its major regions, to assess the determinants of those trends, and to explore [issues] relating to recent and projected changes in the age structure of population and relationships of those changes to economic and social developments."" Comparisons are made between developed and developing countries concerning age structure, life expectancy, birth and mortality rates, and demographic aging. (SUMMARY IN ENG)",Jinko mondai kenkyu. [Journal of population problems],1989 Apr,Japan,1989,80
7467670,[Conditions and processes of aging - biographical determinants].,"The high degree of interindividual variability of processes of aging is mentioned and biographical factors influencing age stage and processes of aging were analyzed. A review of empirical biographical studies is presented, which emphasize a conceptualization of behavior in older age at the interaction of past experience, current situation, and future time perspective of the individual. As an example it is discussed how the mother experiences and reacts to her last child's leaving home (""empty-nest-reaction""). An analysis of the data of the BLSA (1965-1977) demonstrated many patterns of change. It could be shown that there exists consistency as well as variability in personality variables. It could be shown that the biographical and social context was closely related to these interindividual differences in consistency and change. Conditions are multidimensional rather than uniform. This high degree of interindividual variability of change calls for a differential gerontology.",Zeitschrift fur Gerontologie,1980 Sep-Oct,Germany,1980,80
6986089,Psychiatric emergencies: an overview.,"The psychiatric emergency ward has become a primary entry point into the network of mental health services for people who need help to cope with their problems of living. It is also the only source of treatment for many chronically mentally ill patients living in the community. The authors critically review the literature on emergency psychiatric services, focusing on the ways these services are used, the atmosphere in the emergency room, and the determinants of disposition decision making. On the basis of their research, they suggest a model for emergency services that includes an evaluation of the patient's and his on her community's resources and competence and minimizes subtle diagnostic considerations.",The American journal of psychiatry,1980 Jan,United States,1980,80
3669072,Determinants of adherence to medical regimens by hypertensive patients.,"This study employed multivariate analyses and structural modeling procedures to examine a model for the determinants of adherence to medical regimens. Fifty adult hypertensive patients at a health maintenance organization completed questionnaires and participated in home interviews over a 10-week period. Knowledge of medical regimens, information communication between the patient and the medical professionals, satisfaction with health-care providers, health locus of control, social support, and treatment disruption to life-style were assessed. Adherence was assessed through self-report and behavioral (i.e., pill-count ratio, percentage of kept medical appointments) indices. Finally, repeated blood-pressure measurements were obtained. Structural modeling procedures revealed that greater expectancy for internal control over health and hypertension, greater knowledge of the treatment regimen, and stronger social support were significant determinants of adherence; in turn, higher levels of adherence facilitated blood-pressure reduction.",Journal of behavioral medicine,1987 Aug,United States,1987,80
6523992,[Survival in advanced age--a comparison of short- and long-lived probands of the Bonn gerontologic longitudinal study].,"A comparison between rather short-lived (n = 60) and rather long-lived (n = 88) participants of the initial sample of the Bonn longitudinal study on aging (BOLSA) yielded evidence - with regard to differences in the central tendencies of these two groups - for a variety of determinants of longevity in old age. The statistical analyses included eight constructs or clusters of variables, respectively, that were either empirically or theoretically based and were supposed to have predictive power (intelligence, health status, satisfaction, personality, family involvement, socioeconomic/ecological aspects, coping techniques/dominant themes of life, general social participation). Within each ""cluster"", it could be referred to several different aspects. Besides defining general characteristics of longevious people, the purpose of the study was to look for differentiating aspects. Thus, a host of evidence was yielded for gender- and cohort-linked differences in the structure and relevance of the included central clusters with regard to ""prediction"" of advanced longevity in old age.",Zeitschrift fur Gerontologie,1984 Nov-Dec,Germany,1984,80
2705972,Trends in Poland in space psychology research.,This paper discusses the basic directions of research carried out in Poland during the years 1981-86 within the Polish Academy of Science project 06.7. The subject matter concerns: individual and situational determinants of human functioning in stress conditions; functioning of a human in extreme conditions; and load imposition through activities requiring risk-taking decisions.,"Aviation, space, and environmental medicine",1989 Apr,United States,1989,80
7264477,The holistic health movement: a survey and critique.,"This article discusses the nature and significance of the holistic health movement in four ways. First, a general characterization of the movement is proposed, based on shared commitment to five assumptions: (1) a positive view of health as well-being, (2) individual responsibility for health, (3) the importance of health education, (4) control of social and environmental determinants of health, and (5) low technology of ""natural"" therapeutic techniques. Second, a basic difference among advocates of holistic health/medicine is proposed in terms of the presence or absence of commitment to scientific method. Third, holistic health/medicine is briefly compared with concepts of holism in biology and in the social sciences. Finally, criticisms of each of the basic tenets of the holistic health movement are offered.",The Journal of medicine and philosophy,1981 May,United States,1981,80
2916712,Determinants of recovery 12 months after hip fracture: the importance of psychosocial factors.,"The independent contributions to recovery from hip fracture of psychosocial factors including depression, personality, social connectedness, and self-rated health were studied in 219 women age 59 and older (mean age 78.5) who were community dwelling prior to fracture. Initial assessments were conducted shortly after surgery and follow up assessments 2, 6, and 12 months later. By 12 months, 15 patients had died and 15 had entered a nursing home. Substantial declines in physical functioning though not psychosocial status were observed. Only 21 per cent (compared to 81 per cent prefracture) reported walking independently; fewer than 30 per cent had regained reported prefracture levels of physical function. The proportion with elevated depression scores at 12 months was 20 per cent, down from 51 per cent following surgery; 64 per cent rated their health excellent or good at 12 months, up from 43 per cent after surgery. Poor cognitive status and post-surgical self-rated health were predictive of mortality. Among survivors, age, prefracture physical functioning, and cognitive status were associated with recovery in physical function but not psychosocial status. High post-surgery depression scores, but not the other psychosocial factors, were associated with poorer recovery in both functional and psychosocial status. These findings demonstrate the importance of depressive symptoms as one determinant of recovery from hip fracture and support the need to attend to the affective status of hip fracture patients following surgery.",American journal of public health,1989 Mar,United States,1989,80
24896982,"An experimental model of aggressive dominance in Xiphophorus Helleri (pisces, poeciliidae).","An experimental model was constructed using seven postulates derived from the experimental results of Zayan (1974, 1975a,b,c, 1976). The model specifies the relative importance of several asymmetries in predicting aggressive dominance in Xiphophorus helleri . These asymmetries concern difference between duellists with respect to: prior residence in the tested area (vs intrusion); immediate social experiences of dominance or submission; social isolation; individual familiarity and recognition. The predictions of the general model were checked experimentally and confirmed; a multiple orthogonal regression accounted for about 97% of the variance in our experimental results. The basic experimental results serving as postulates were confirmed and could be generalized; a new synthetic and predictive model was formulated concerning the determinants of aggressive dominance in Xiphophorus .",Behavioural processes,1985 Jan,Netherlands,1985,80
6523151,Socioeconomic factors associated with malaria in Colombia.,"In spite of progress made to control tropical diseases many developing countries in the world still show high rates of incidence. A program for malaria eradication has been in operation in Colombia since 1953, and the malaria incidence rate was falling until 1971. However, in recent years the rate has begun to rise again in affected areas of the country. The resurgence of the disease leads one to think that traditional methods of controlling it are approaching the saturation point, and a reassessment of the determinants of the problem is needed in order to identify social and economic factors that might be playing an important role by themselves or in association with epidemiological or health determinants of the disease. The purpose of this paper is to present a methodology which is being applied to the analysis of social, economic and health determinants of malaria incidence in Colombia. The model is theoretically based on a home economics framework. However, an expansion of the original version is made to take into account social and organizational factors which are thought to be important in the Colombian case. Economic variables included in the testing of the model are income, wealth and occupation. Social variables include education and housing conditions. Health factors considered are nutrition and health services. The model is tested using data collected in July 1982 in one of the most malaria affected areas of Colombia, and preliminary results are presented.",Social science & medicine (1982),1984,England,1984,80
4061712,A cross-cultural comparison of health status values.,"The extent to which the values attached to health states are similar in different cultures or social groups is important for understanding health and illness behaviors and for developing standardized health status measures. A cross-cultural study was conducted to compare the health status values obtained in a United States population (Seattle, Washington) with those from another English-speaking culture (London, England) on the Sickness Impact Profile, a standardized measure composed of 136 items. London judges rated the severity of dysfunction described in each item on an equal interval scale using the same methods of scaling and analysis employed in the Seattle study. A regression of English mean item values on US mean values yielded a slope of 1.00 and an intercept of -0.07, indicating that judges gave strikingly similar ratings to most items. Agreement was higher at the more severe end of the dysfunction continuum than at the least severe end, a finding consistent with the notion that what constitutes health is more difficult to define than what constitutes illness. While a universal conception of dysfunction may exist in English-speaking societies, the social and cultural determinants of health status values deserve more systematic study.",American journal of public health,1985 Dec,United States,1985,80
2707492,Alarm call responsivity of mallard ducklings: VIII. Interaction between developmental history and behavioral context.,"Mallard ducklings (Anas platyrhynchos) inhibit their vocal behavior upon hearing the maternal alarm call of their species. The present study assesses the interaction of the ducklings' experiential history with the environment in which they are tested. If ducklings are reared and tested to the alarm call in small social groups, they respond by dramatically inhibiting their vocalizations. If, however, socially reared ducklings are tested to the alarm call individually in an open field, responsiveness drops precipitously. In addition, individually reared ducklings respond at a far greater level to the alarm call when tested individually, not in groups. Thus, there is an interaction between the rearing history and the testing environment such that the same rearing history leads to different behavioral outcomes depending on the context in which the ducklings are observed. This demonstrates the importance of behavioral context, in addition to developmental history, as one of the determinants of behavior.",Developmental psychobiology,1989 Apr,United States,1989,80
6887077,Self-referral: social and demographic determinants of consulting behaviour.,"This report, which is one of a series, is concerned with socio-demographic correlates of self-referral, and the extent to which the observed associations can be explained by variations in symptom prevalence and severity. Social class, marital status, employment status, and distance from health centre, all show small but significant associations with self-referral. For social class the effect appears to be mediated by symptoms. People in social classes IV and V, women who are widowed, divorced or separated, and people who live near the health centre are more likely to visit their general practitioner.",Journal of psychosomatic research,1983,England,1983,80
3992291,Socialization and interpersonal environment in nurses' affective reactions to work.,"The dominant explanation of nurses' affective experience in work is the conflict between the beliefs and expectations developed during the formal training process (education) and the role definitions in the hospital work setting. Specifically, it is generally proposed that baccalaureate trained nurses experience this person-role conflict more than the associate or diploma trained nurse because baccalaureate training instills more beliefs/expectations that conflict with the hospital nursing role. However, research has not sufficiently compared the effect of 'socialization' variables like education with other variables found to affect the work experience. This study uses path analysis to explore the relative effects of education, length of experience and the measured interpersonal work environment across types of person-role conflicts, on overall job satisfaction and on propensity to leave. The results show that the interpersonal factors are the paramount determinants of the measured person-role conflicts and, as well, have a greater effect than education and experience on job satisfaction. Also, education and length of experience have greater direct than indirect effects on propensity to leave, indicating that their effects are not via causality of job-related stress. Implications for programs designed to improve the nurse's work experience and affects are discussed.",Social science & medicine (1982),1985,England,1985,80
3615304,Cross-cultural perspectives on teenage alcohol use.,"Alcohol use by teenagers is a widespread and well-documented behavior in many Western nations. In contrast, very little is known about the drinking habits and attitudes toward alcohol of teenagers in the world's developing countries. In this paper we propose that adolescents learn about alcohol as part of the socialization process, just as they learn other social behaviors. Central to this learning is the development of a set of expectancies within one's culture about the effects of alcohol upon the user. These expectancies are important determinants of subsequent drinking behavior. An understanding of the sociocultural environment in which these expectancies develop, and in which teenage drinking occurs, is essential for developing intervention strategies aimed at promoting responsible alcohol use and avoiding alcohol-related problems among young people.",Pediatrician,1987,Switzerland,1987,80
3791024,Long-term hospitalization of failure-to-thrive infants: developmental outcome at three years.,"The present study documented later developmental outcome in a group of 29 failure-to-thrive (FTT) infants who received extended hospitalization in infancy as an intervention for their growth failure. All infants were seen at approximately 3 years of age and were given standardized assessments of intellectual and physical development. A standard interview documented demographic variables, health problems, placements subsequent to hospitalization and additional psychological and medical treatment. Infants were divided into three groups dependent on medical and treatment factors. Means and percentages of occurrence of outcome variables were compared through either one-way ANOVAS or single sample chi-square tests with post hoc analyses. Correlational analyses were used to understand the relationships between outcome and relevant demographic, medical, and treatment variables. In general, the infants manifest persistent intellectual delays at follow-up despite maintenance of weight gains achieved during early hospitalization. More than half the group suffered from chronic health problems. A large percentage of infants had been removed from parental custody at the time of follow-up. Several demographic, medical, and treatment factors bore moderate relationships to developmental outcome. Infants who achieved more optimal growth tended to be full-term at birth, later born and without a question of physical abuse in their social histories. Intellectual functioning was related only to parental and caretaker socioeconomic status. Infants placed in foster care were unlikely to return to their families of origin. The findings suggest the need for further investigation into the determinants and outcome of extended hospitalization as a treatment for FTT.",Child abuse & neglect,1986,England,1986,80
2618609,"Sexual behavior, contraception and unintended pregnancy among young females.","Information about contraceptive usage and sexual experiences was sampled in 1985-86 from 16-20-year-old Danish females admitted for legally induced abortion on Funen (N = 140). In attempts to elucidate the causal relations behind undesired pregnancy among teenagers, data were in the present context compared with answers to the same questions from a representative Danish sample of sexually experienced, non-pregnant females of the same age (N = 201). Of the reference sample, 83.6% were using contraceptives at the time of the interview--mostly oral contraceptives (O.C.). Of the abortion sample, 90.7% said they had used contraception earlier in their reproductive life. Approximately one third conceived in spite of contraception (most frequently the condoms). O.C. was the contraceptive method used most recently (by 43.6%). Thus, a pause in an effective contraceptive often precedes an unintended pregnancy, pointing to the need for follow-up counselling when O.C. is prescribed to teenagers. Only the minority could state the total number of times they had experienced sexual intercourse. Significantly more females in the abortion sample were in an alliance with a male partner with whom they had regular sexual intercourse. However, they also reported a higher average number of different sexual partners, indicating an association between changing sexual relationships and undesired pregnancy. In the abortion sample significantly more pregnancies prior to the index pregnancy were reported during a corresponding period of risk of conception lasting only a few years. Taking the widespread use of contraception into account, it is possible that an increased fecundity might be a co-factor behind unsuccessful contraception.",Acta obstetricia et gynecologica Scandinavica,1989,United States,1989,80
3619612,Employment after spinal cord injury.,"A predictive model for employment after spinal cord injury was developed. The study population consisted of 154 spinal cord injured persons who were treated at our hospital between 1973 and 1979, and followed for seven years after injury. Demographic, social, and injury severity data were abstracted from each subject's hospital record. Motivation to work, employment history, and sources of postinjury financial support, were assessed by a vocational rehabilitation counselor. The study population was divided into four groups: persons continuously unemployed after injury, homemakers, students, and those employed at some time during the seven-year follow-up period. Stepwise discriminant analysis was used to develop a predictive model that ultimately included seven variables: gender, motivation to work, whether the patient's last job required ambulation, race, educational level, a functional ability score, and whether the patient had children. The model correctly classified 82% of those persons who were continuously unemployed, 100% of homemakers, 63% of students, and 72% of employed subjects. Overall, 79% of subjects were classified correctly. The most important classification errors were between the unemployed and employed groups. Seventeen percent of employed patients were incorrectly classified as unemployed, and 11% of unemployed patients were incorrectly classified as employed. Although there are other determinants of postinjury vocational status, individual potential can be assessed by means of a comparatively small set of predictor variables.",Archives of physical medicine and rehabilitation,1987 Aug,United States,1987,80
