PMID,TI,AB,JT,DP,PL,YY,year
12285890,[Determinants of mortality].,"""In this article determinants of mortality [in the Netherlands] are studied.... The main results are the following: For all ages women have lower mortality risks than men.... Married people live longer than those who are not. However, the cause is not certain.... In large cities mortality rates are higher than in small towns (especially due to diseases of the lungs and to narcotics, alcohol and violent causes of death). People with a high socio-economic status have lower mortality risks than those with a low status."" (SUMMARY IN ENG)","Maandstatistiek van de bevolking (Hague, Netherlands : 1982)",1993 Jan,Netherlands,1993,90
10336022,The epidemiology of multiple births.,"On the basis of MEDLINE and manual searches, we examined the main papers in the English literature regarding risk factors for spontaneous (i.e. not related to fertility drug use) multiple births. The constant frequency of monozygotic (MZ) pregnancies over time and in different geographical areas suggests that the determination of MZ twins is largely unchanged over time, and that a genetic mechanism may have a role. In contrast, temporal and geographical trends observed in dizygotic (DZ) pregnancies suggest that environmental factors play a role in determining this condition. At present, maternal age and hereditary components are the best-defined determinants for spontaneous multiple births.",Human reproduction update,1999 Mar-Apr,England,1999,90
1653287,Alcohol and blood pressure and its interaction with smoking and other behavioural variables: results from the MONICA Augsburg Survey 1984-1985.,"Data from the Augsburg Survey 1984-1985 of the WHO-project Monitoring Trends and Determinants in Cardiovascular Disease (MONICA), a cross-sectional study on a two-stage cluster sample (n = 5312) of the 25-64-year-old population of the Augsburg study area, were analyzed with regard to alcohol consumption and blood pressure. Putative confounders such as age, body mass index, smoking, sporting activity and educational attainment were controlled for by multiple regression analyses. The main effect models showed that men aged 25-64 years consuming greater than or equal to 80 g alcohol per day had, on average, 3-11 mmHg higher systolic blood pressure (SBP) values and 2-6 mmHg higher diastolic blood pressure (DBP) values compared with non-drinkers. Women consuming greater than or equal to 40 g alcohol per day showed consistently higher SBP (2-6 mmHg) and DBP (1-5 mmHg) values compared with non-drinkers. In the group aged 55-64 years, no clear relationship was seen for SBP or DBP in men or women. Multiple regression models, allowing for interactions between alcohol consumption and the four behavioural variables: smoking, sporting activity; coffee consumption; and type A/B behaviour, showed a consistent interaction between alcohol consumption and smoking in men and women. Smoking modified the effect of alcohol on SBP and DBP in men by 2-8 mmHg and in women by 1-14 mmHg. These findings confirm those obtained for women in previous studies in Munich and Lubeck. Interactions between alcohol and sporting activity, coffee consumption and type A/B behaviour are less consistent.",Journal of hypertension,1991 Jun,England,1991,90
2394919,Determinants of interpersonal support and self-direction in group residential facilities.,"This study examined the determinants of residents' and staff's judgments of interpersonal support and self-direction in group residential facilities for older people. The Multiphasic Environmental Assessment Procedure (MEAP) was used to assess social climate dimensions and their determinants in a national sample of 244 facilities. Residents saw more interpersonal support and self-direction in facilities with more physical resources (comfort and staff facilities) and policies providing more autonomy. A similar pattern was found for staff's perceptions of self-direction. Residents and staff also viewed facilities as providing more interpersonal support and self-direction when residents were more socially competent. Larger facility size was associated with residents' assessments of more conflict, and a higher staff-resident ratio was related to residents' judgments of having less independence and influence. These findings may help to improve residential facilities by suggesting factors that can be targeted in interventions to improve the social climate.",Journal of gerontology,1990 Sep,United States,1990,90
8126717,"Effects of environmental demands, stress, and mood on health practices.","The present study examined how environmental demands, stress, and positive and negative affect were related to health practices. College undergraduates (N = 79) completed measures of stress, mood, and health practices during periods of low and high academic demands. Positive affect was positively related to exercise, nutrition, self-care practices, and overall health practices at two measurement points. Levels of stress (daily hassles, perceived stress, academic stress) increased over time, but increases in daily hassles and perceived stress were unrelated to health practices. Increases in academic demands completed in the previous week were associated with improvements in nutrition and self-care practices, greater drug avoidance, and greater overall health practices. This pattern indicates that a ""rebound effect"" may occur after high demand periods, during which individuals engage in more health-promoting activities. The results also suggest that the determinants of positive health practices may differ from those of negative health practices.",Journal of behavioral medicine,1993 Dec,United States,1993,90
7949275,[Development of a perceived social support scale: for a Japanese population].,"Social support is increasingly attracting interest in as a factor in epidemiological research of disease risks. However, at present, few methods for measuring social support that can be credited as having reliability and validity exist in Japan. Therefore a perceived social support scale was developed in relation to a population study of a town in Fukuoka prefecture. A method for measuring functional support from several external sources was designed consisting of a self-administered test provided with only two available response options--yes & no. Pretests were conducted twice in order to evaluate content validity and adjust the number of determinants and resulted in spouse, family members, and friends being selected to be primary sources of support. A factor analysis was applied to select 10 conditions with high internal consistency for each of the sources. Responses were scored 0 or 1, for 'no' or 'yes,' respectively. Subsequently each set of 10 variables was summed into an index ranking social support conditions for each of the three sources. The three highest ranking indicators from each of the respective sources were then integrated into a single comprehensive total social support score of the individuals. The inquiry method was applied on 277 adults, aged from 40 to 69 years, in the town. Intercorrelation between the indicators of support derived from the three sources was low and coefficients of reliability ranged from 0.892 to 0.978. The score of each set of the 10 variables were incorporated into a principal components analysis in order to determine factorial validity. All of the first factor loadings of the items measuring support from both spouse and family were greater than 0.7 and high eigenvalues were obtained. Therefore the methods applied to spouse and family were considered adequate to measure a given construct. The items measuring support from friends were divided into two factors, emotional support and tangible support.",[Nihon koshu eisei zasshi] Japanese journal of public health,1994 Oct,Japan,1994,90
8173825,Culture and schizophrenia: the DOSMD challenge.,"The World Health Organization's International Pilot Study on Schizophrenia (IPSS) and subsequent Determinants of Outcomes of Severe Mental Disorder (DOSMD) studies have reported that the course of schizophrenia is more favourable in 'developing' than 'developed' societies. The 1992 DOSMD study attributes this difference to culture. We review studies concerning the course of schizophrenia and conclude that the evidence for a more favourable course in developing societies is not conclusive. Indeed, a favourable course has also been reported in various industrialised societies. We also raise questions about the findings reported in the recent DOSMD study, including the conclusion that the putatively more favourable course is a product of culture. Finally, we argue that longitudinal, direct observation of patients in their natural environments must be carried out before variations in the course of schizophrenia can be adequately understood.",The British journal of psychiatry : the journal of mental science,1994 Feb,England,1994,90
1558698,Framing the construct of life satisfaction in terms of older adults' personal goals.,"Older adults' life satisfaction can be better understood in light of their personal goals. This study of 179 elders examined (a) how goals correlate with satisfaction, (b) whether elders maintain satisfaction by accommodating goals to past losses, and (c) how correlations between satisfaction and key predictors differ among groups with different goals. Satisfaction was related positively to social maintenance and energetic life-style goals and negatively to concerns for improvement, disengagement, stability, and reduced activity. Past losses were correlated with current goals but not with satisfaction, consistent with the notion of accommodation. A cluster analysis identified 5 patterns of goals: high demand, age prescribed, self-focused, socially engaged, and low demand. Correlations between satisfaction and other predictors differed by cluster, suggesting that the determinants of elders' satisfaction depend on personal goals.",Psychology and aging,1992 Mar,United States,1992,90
9541065,"Wealth, equity and health care: a critique of a ""population health"" perspective on the determinants of health. Critical Social Science Group.","In this paper we examine the recent ascendancy of a ""population health"" perspective on the ""determinants of health"" in health policy circles as conceptualized by health economists and social epidemiologists such as Evans and Stoddart [Evans and Stoddart (1990) Producing health, consuming health care. Social Science & Medicine 31(12), 1347 1363]. Their view, that the financing of health care systems may actually be deleterious for the health status of populations by drawing attention away from the (economic) determinants of health, has arguably become the ""core"" of the discourse of ""population health"". While applauding the efforts of these and other members of the Canadian Institute for Advanced Research for ""pushing the envelope"", we nevertheless have misgivings about their conceptualization of both the ""problem"" and its ""solutions"", as well as about the implications of their perspective for policy. From our critique, we build an alternative point of view based on a political economy perspective. We point out that Evans and Stoddart's evidence is open to alternative interpretations--and, in fact, that their conclusions regarding the importance of wealth creation do not directly reflect the evidence presented, and are indicative of an oversimplified link between wealth and health. Their view also lacks an explicit substantive theory of society and of social change, and provides convenient cover for those who wish to dismantle the welfare state in the name of deficit reduction. Our alternative to the ""provider dominance"" theory of Evans and Stoddart and colleagues stresses that the factors or forces producing health status, which Evans and Stoddart describe, are contained within a larger whole (advanced industrial capitalism) which gives the parts their character and shapes their interrelationships. We contend that this alternative view better explains both how we arrived at a situation in which health care systems are as costly or extensive as they are, and suggests different policy avenues to those enunciated by Evans, Stoddart and their confreres.",Social science & medicine (1982),1998 Apr,England,1998,90
2150430,[Psychological development in chronic disease and disability].,"Determinants of psychosocial adaptation in chronic illness and disability are outlined in the introduction. They include disease conditions, personality factors, and reactions of family and social environment. The increased risk of psychiatric disorders is documented based on both this model as outlined and empirical research. Finally, some fundamental considerations regarding psychological rehabilitation within pediatric care are presented.",Monatsschrift Kinderheilkunde : Organ der Deutschen Gesellschaft fur Kinderheilkunde,1990 Oct,Germany,1990,90
