PMID,TI,AB,JT,DP,PL,YY,year
18243207,The level and determinants of mission statement use: a questionnaire survey.,"BACKGROUND: Although mission statements are one of the most popular management instruments, little is known about the nature and direction of the presumed relationship between mission statements and organizational performance. In particular, empirical insights into the degree of mission statement use by individual organizational members are insufficient. OBJECTIVES: We address the observed knowledge gap by (a) measuring the level of mission statement use (e.g., explaining the mission statement, making linkages to extant programs or practices, communicating enthusiasm, and adapting the mission statement to the personal work situation) by individual organizational members, and (b) identifying the antecedents that influence mission statement use. DESIGN: Questionnaires were used to collect data from a sample of 510 nurses from three Flemish hospitals. Mission statement use was measured by means of Fairhurst's Management of Meaning Scale. Antecedents of mission statement use were derived from the Theory of Planned Behavior and the mission statement literature. RESULTS: The findings indicate that mission statement use is low on average. Attitude, subjective norm, perceived behavioral control, and formal involvement in mission statement communication proved to be significant determinants of mission statement use and accounted for 43% of the variance. The results of the conducted regression analyses indicate that nurses (a) who have a positive attitude towards the mission statement, (b) who perceive pressure from superiors and colleagues to use the mission statement, (c) who feel they are in control of performing such behavior, and (d) who are formally involved in the mission statement communication processes are more likely to use the mission statement. Furthermore, the results indicated that demographic characteristics are not associated with mission statement use. CONCLUSIONS: To effectively increase mission statement use, investments should focus on redesigning a work environment that stresses the importance of the organizational mission statement and provides detailed information on the ways that individual organizational members can contribute in realizing the mission statement.",International journal of nursing studies,2008 Oct,England,2008,00
18083444,"Mortality from leading causes by education and race in the United States, 2001.","BACKGROUND: Low educational attainment is a marker of socioeconomic status that correlates strongly with higher death rates from many conditions. No previous studies have analyzed national data to measure the number of deaths associated with lower education among working-aged adults (25-64 years) by race or ethnicity. Furthermore, no previous studies have examined comprehensively the relationship of education to cause-specific and all-cause mortality in the three largest racial or ethnic groups in the United States using national data. METHODS: Age-standardized, race/ethnicity-specific death rates from all causes and the 15 leading causes were measured among men and women aged 25-64 years by level of education based on U.S. national mortality data in 2001. The total number of deaths that potentially could be avoided among people aged 25-64 years was estimated by applying the mortality rates among college graduates (within each 5-year category of age, gender, and race/ethnicity) to each of the less-educated subpopulations. All analyses were performed in 2007. RESULTS: Nearly half (48%) of all deaths among men aged 25-64 years (white, black, and Hispanic), and 38% of all deaths in women would not have occurred in this age range if all segments of the population experienced the death rates of college graduates. Black men and women had the highest death rates from all causes combined and from many specific causes at nearly all levels of education, and the largest average life years lost before age 65 years. However, the total number of deaths associated with low education status was not confined to any single racial group. About 161,280 deaths in whites, 40,840 deaths in blacks, and 13,162 deaths in Hispanics in this age range were associated with educational disparity. CONCLUSIONS: Potentially avoidable factors associated with lower educational status account for almost half of all deaths among working-aged adults in the U.S.; these deaths are not confined to any single racial or ethnic group. These findings highlight the need for greater attention to social determinants of health.",American journal of preventive medicine,2008 Jan,Netherlands,2008,00
15919199,Survival of young and older breast cancer patients in Geneva from 1990 to 2001.,"The effect of age on breast cancer survival is still a matter of controversy. Breast cancer in young women is thought to be more aggressive and to have worse prognosis but results from clinical research have been neither consistent nor definitive. In this study, we have assessed the impact of young age at diagnosis on tumor characteristics, treatment and survival of breast cancer. The study included 82 very young (< or = 35 years), 790 young (36-49), and 2125 older (50-69) women recorded between 1990 and 2001 at the Geneva Cancer Registry. Very young and young patients had more often stage II cancers (P = 0.009), poorly differentiated (P < 0.001) and estrogen receptor negative (P < 0.001) tumors. They were also more likely to receive chemotherapy (P < 0.001) and less likely to receive hormonal therapy (P < 0.001). Specific five-year survival was not different in the three groups (91%, 90%, and 89% for very young, young and older, respectively). When adjusting for all prognostic variables, age was not significantly related to mortality from breast cancer with a hazard ratio of 0.8 (95% CI: 0.3-2.0) for very young and 1.1 (95% CI: 0.8-1.4) for young patients compared to older women. Tumor stage, differentiation, estrogen receptor status, surgery, and radiotherapy were all independent determinants of breast cancer prognosis. We conclude that age is not an independent prognostic factor when accounting for breast tumor characteristics and treatment.","European journal of cancer (Oxford, England : 1990)",2005 Jul,England,2005,00
26815750,"Predicting Health-related Quality of Life of Severely Injured Patients: Sociodemographic, Economic, Trauma, and Hospital Stay-related Determinants.","INTRODUCTION: Due to remarkable improvements in emergency and intensive care medicine in the recent past, the mortality rate for severely injured patients is decreasing. Outcome research therefore should no longer focus only on questions of survival, but also on aspects of the quality of life after severe trauma. This study examined the long-term effect of different sociodemographic, economic, trauma, and hospital-related factors on the health-related quality of life (SF-36) of severely injured patients. PATIENTS AND METHODS: A written questionnaire was sent to 121 trauma patients who received treatment in two hospitals in Cologne/Northrhine-Westfalia between 1996 and 2001. The inclusion criteria were more than one injury and a sum of abbreviated injury score of the two worst injuries >/= 6. The response rate after using the total-design-method was 77.6% (n = 90). RESULTS: Severely injured patients showed significant reductions for all subscales of the SF-36, on average 4 years after discharge on average, in comparison to a German norm population. Specifically, aspects of the physical-component scale were dramatically reduced. Linear regressions controlling for time after discharge suggested that higher age, lower socioeconomic status, living together with a partner, and the severity of trauma and injury of extremities were significant predictors for a reduced quality of life, while satisfaction with the hospital stay had a positive effect. DISCUSSION: All in all, it is important to identify trauma- patients who will suffer a reduced quality of life. In so doing, it will be possible to take into account the specific circumstances of their recovery during medical treatment, care, and rehabilitation.",European journal of trauma and emergency surgery : official publication of the European Trauma Society,2008 Jun,Germany,2008,00
12521802,Determinants of mission house delivery among booked patients in a Nigerian teaching hospital.,"This study examines the determinants of Mission House Delivery among booked patients in Ile-Ife, Nigeria. During the 12 months of the study (1 May 199930 April 2000) 196 booked patients at Obafemi Awolowo University Teaching Hospitals Complex, Ile-Ife who delivered at mission houses were analysed. All ages and parity groups, educational level and social classes were involved. The majority (73%) were of low socio-economic class. The reasons for mission house delivery included financial constraints (41%), fear of possible caesarean section (46%), industrial action by health-care workers (39%), transport difficulty at night (26%), previous deliveries in mission houses (16%) and communal feud (12%). Four maternal deaths occurred (MMR 978/100 000 births) and 20 perinatal deaths (PNMR 118/1000 total births). Reduction of hospital user fees, provision of transportation and efficient telecommunication facilities at all times, conflict resolution and proper remuneration of health care workers are urgent needs to be addressed. Legislation against delivery in unsafe places and establishment of appropriate facilities by churches interested in maternity services is highly recommended.",Journal of obstetrics and gynaecology : the journal of the Institute of Obstetrics and Gynaecology,2001 Sep,England,2001,00
16707074,"Randomised controlled trials of conventional antipsychotic versus new atypical drugs, and new atypical drugs versus clozapine, in people with schizophrenia responding poorly to, or intolerant of, current drug treatment.","OBJECTIVES: To determine the clinical and cost-effectiveness of different classes of antipsychotic drug treatment in people with schizophrenia responding inadequately to, or having unacceptable side-effects from, their current medication. DESIGN: Two pragmatic, randomised controlled trials (RCTs) were undertaken. The first RCT (band 1) compared the class of older, inexpensive conventional drugs with the class of new atypical drugs in people with schizophrenic disorders, whose current antipsychotic drug treatment was being changed either because of inadequate clinical response or owing to side-effects. The second RCT (band 2) compared the new (non-clozapine) atypical drugs with clozapine in people whose medication was being changed because of poor clinical response to two or more antipsychotic drugs. Both RCTs were four-centre trials with concealed randomisation and three follow-up assessments over 1 year, blind to treatment. SETTING: Adult mental health settings in England. PARTICIPANTS: In total, 227 participants aged 18-65 years (40% of the planned sample) were randomised to band 1 and 136 (98% of the planned sample) to band 2. INTERVENTIONS: Participants were randomised to a class of drug. The managing clinician selected the individual drug within that class, except for the clozapine arm in band 2. The new atypical drugs included risperidone, olanzapine, quetiapine and amisulpride. The conventional drugs included older drugs, including depot preparations. As in routine practice, clinicians and participants were aware of the identity of the prescribed drug, but clinicians were asked to keep their participating patient on the randomised medication for at least the first 12 weeks. If the medication needed to be changed, the clinician was asked to prescribe another drug within the same class, if possible. MAIN OUTCOME MEASURES: The primary outcome was the Quality of Life Scale (QLS). Secondary clinical outcomes included symptoms [Positive and Negative Syndrome Scale (PANSS)], side-effects and participant satisfaction. Economic outcomes were costs of health and social care and a utility measure. RESULTS: Recruitment to band 1 was less than anticipated (40%) and diminished over the trial. This appeared largely due to loss of perceived clinical equipoise (clinicians progressively becoming more convinced of the superiority of new atypicals). Good follow-up rates and a higher than expected correlation between QLS score at baseline and at follow-up meant that the sample as recruited had 75% power to detect a difference in QLS score of 5 points between the two treatment arms at 52 weeks. The recruitment to band 2 was approximately as planned. Follow-up assessments were completed at week 52 in 81% of band 1 and 87% of band 2 participants. Band 1 data showed that, on the QLS and symptom measures, those participants in the conventional arm tended towards greater improvements. This suggests that the failure to find the predicted advantage for new atypicals was not due to inadequate recruitment and statistical power in this sample. Participants reported no clear preference for either class of drug. There were no statistically significant differential outcomes for participants entering band 1 for reasons of treatment intolerance to those entering because of broadly defined treatment resistance. Net costs over the year varied widely, with a mean of 18,850 pounds sterling in the conventional drug group and 20,123 pounds sterling in the new atypical group, not a statistically significant difference. Of these costs, 2.1% and 3.8% were due to antipsychotic drug costs in the conventional and atypical group, respectively. There was a trend towards participants in the conventional drug group scoring more highly on the utility measure at 1 year. The results for band 2 showed an advantage for commencing clozapine in quality of life (QLS) at trend level (p = 0.08) and in symptoms (PANSS), which was statistically significant (p = 0.01), at 1 year. Clozapine showed approximately a 5-point advantage on PANSS total score and a trend towards having fewer total extrapyramidal side-effects. Participants reported at 12 weeks that their mental health was significantly better with clozapine than with new atypicals (p < 0.05). Net costs of care varied widely, but were higher than in band 1, with a mean of 33,800 pounds sterling in the clozapine group and 28,400 pounds sterling in the new atypical group. Of these costs, 4.0% and 3.3%, respectively, were due to antipsychotic drug costs. The increased costs in the clozapine group appeared to reflect the licensing requirement for inpatient admission for commencing the drug. There was a trend towards higher mean participant utility scores in the clozapine group. CONCLUSIONS: For band 1, there is no disadvantage in terms of quality of life and symptoms, or associated costs of care, over 1 year in commencing conventional antipsychotic drugs rather than new atypical drugs. Conventional drugs were associated with non-significantly better outcomes and lower costs. Drug costs represented a small proportion of the overall costs of care (<5%). For band 2, there is a statistically significant advantage in terms of symptoms but not quality of life over 1 year in commencing clozapine rather than new atypical drugs, but with increased associated costs of care. The results suggest that conventional antipsychotic drugs, which are substantially cheaper, still have a place in the treatment of patients unresponsive to, or intolerant of, current medication. Further analyses of this data set are planned and further research is recommended into areas such as current antipsychotic treatment guidance, valid measures of utility in serious mental illness, low-dose 'conventional' treatment in first episode schizophrenia, QLS validity and determinants of QLS score in schizophrenia, and into the possible financial and other mechanisms of rewarding clinician participation in trials.","Health technology assessment (Winchester, England)",2006 May,England,2006,00
17003160,Capturing medical students' idealism.,"PURPOSE: Students' idealism and desire to work with underserved populations decline as they progress from preclinical training through clerkships and residency. With an increasingly diverse population and increasing health disparities, academic health centers need to incorporate changes in their curricula to train socially responsible and idealistic physicians. International electives can provide valuable learning experiences to help achieve these goals. METHODS: Sixty-six preclinical medical students at the University of Texas Medical Branch participated in an international elective from 1997 to 2005. After 1 week of didactics, they spent 3 weeks as part of a multidisciplinary medical team in rural Nicaragua. Postelective questionnaires were administered. From students' responses, we identified common learning themes and grouped them under the categories of attitudes, awareness, and skills. Limitations included a self-selection bias, lack of a control group, and limited follow-up. RESULTS: After the elective, students had an increased interest in volunteerism, humanitarian efforts, and working with underserved populations both in the United States and abroad, as well as more compassion toward the underserved. Students also reported a heightened awareness of social determinants of health and public health, and a broadened global perspective, as well as increased self-awareness. CONCLUSIONS: Our findings illustrate that a well-structured, mentored experience in international health can have a positive impact on preclinical students' attitudes, including their compassion, volunteerism, and interest in serving under-served populations, all measures of idealism.",Annals of family medicine,2006 Sep-Oct,United States,2006,00
18509581,"Vitality, perceived social support and disease activity determine the performance of social roles in recently diagnosed multiple sclerosis: a longitudinal analysis.","OBJECTIVE: The aim of this study was to identify the principal determinants that are longitudinally associated with the performance of social roles in the first 3 years following a diagnosis of multiple sclerosis. DESIGN: Inception cohort with 5 measurements over 3 years. PATIENTS: A total of 156 patients recently diagnosed with multiple sclerosis. METHOD: Performance of social roles was measured using the 2 role functioning and the social sub-scales of the Medical Outcome Study Short Form 36. Potential determinants (n = 43) were divided into the following clusters: patient and disease characteristics (n = 12), psychosocial characteristics (n = 10), basic functions (n = 18) and basic activities (n = 3). Multivariate longitudinal regression analyses were performed with generalized estimating equations. A backwards selection procedure for every cluster per outcome reduced the large number of potential determinants. In order to determine whether longitudinal associations are present the selected determinants were entered into an overall regression model. RESULTS: Twenty-three candidate determinants were selected. Vitality, measured with the SF36 sub-scale vitality, the T2-weighted supratentorial lesion load and the perceived amount of social support, measured with the Social Support List Discrepancies, were longitudinally associated with the performance of social roles in 2 or 3 of the models. CONCLUSION: Vitality, the perceived amount of social support, and disease activity, i.e. the T2-weighted supratentorial lesion load, determine the performance of social roles in the early stages of multiple sclerosis.",Journal of rehabilitation medicine,2008 Feb,Sweden,2008,00
19036043,Attributions of breastfeeding determinants in a French population.,"BACKGROUND: The rates of initiation and duration of breastfeeding in France are low when compared with those in other European countries. The objective of this study was to determine attributions of breastfeeding determinants in a French population. METHODS: A self-report survey listing 68 reasons for or against breastfeeding was developed. Nine hundred nine participants from the general population rated their level of agreement with each reason by means of a Likert-type scale. The survey explored gender, age, parenthood, decision to breastfeed, having friends who had breastfed, having family members who had breastfed, and having been breastfed themselves when younger. Exploratory factorial analyses extracted six factors for breastfeeding and five factors against breastfeeding. All the factors were entered in regression analyses to predict demographic variables that determined attributions for and against breastfeeding. Individuals were measured at two points in time to account for test-retest reliability (28.1 days +/- 6.95 day lapse). RESULTS: Determinants varied significantly with respect to gender, age, parenthood, and breastfeeding history. High endorsement for breastfeeding involved breastfeeding to fulfill gender roles, to prevent health risks, and because of external encouragement; little endorsement was given for the physiological advantages for babies, pleasant sensations, and preference factors. In terms of not breastfeeding, high endorsement was observed in lack of support, negative attitudes, and infant formula reasoning factors; medical and physiological reasons for not breastfeeding showed low endorsement. CONCLUSIONS: The results of this study showed a strong impact of society and cultural norms on feeding choice. If breastfeeding initiation and duration rates are to be increased, we suggest approaching the rest of the population in addition to pregnant women and mothers since society as a whole influences the decision to breastfeed.","Birth (Berkeley, Calif.)",2008 Dec,United States,2008,00
16217003,Disparities despite coverage: gaps in colorectal cancer screening among Medicare beneficiaries.,"BACKGROUND: Despite its effectiveness in reducing mortality, colorectal cancer (CRC) screening rates are low, especially among low-income and minority groups; however, physician recommendation can increase screening rates. METHODS: We performed a multilevel analysis of the Medicare Current Beneficiary Survey data linked to Medicare claims and the Area Resource File to identify determinants of racial and socioeconomic disparities in CRC screening among 9985 Medicare Parts A and B beneficiaries with a usual physician. Recent CRC screening was defined as receipt of either a home fecal occult blood test, flexible sigmoidoscopy, or colonoscopy at recommended intervals. RESULTS: Unadjusted rates of screening were 48% for white and 39% for black beneficiaries (P<.001). Racial differences in CRC screening receipt were eliminated after adjustment for socioeconomic status as measured by income and education. Socioeconomic status disparities decreased but remained significant after adjustment for personal and health system factors. Awareness of CRC (adjusted odds ratio, 2.76; 95% confidence interval, 2.29-3.33) and having a primary care generalist (vs another specialist) as one's usual physician (adjusted odds ratio, 1.31; 95% confidence interval, 1.12-1.53) were associated with higher odds of screening, controlling for other factors. The odds of screening were also higher among those whose usual physician was rated more highly on information-giving skills. CONCLUSIONS: Racial differences in CRC screening rates among Medicare beneficiaries with a usual physician are explained by differences in socioeconomic status. Beneficiaries with a primary care generalist as their usual physician had higher rates of CRC screening receipt. Increased efforts to make Medicare beneficiaries aware of the benefits of CRC screening may capitalize on the associations found in this study between CRC knowledge, physician information giving, and timely screening.",Archives of internal medicine,2005 Oct 10,United States,2005,00
