PMID,TI,AB,JT,DP,PL,YY,year
26861932,Bypassing Primary Care Facilities for Childbirth: Findings from a Multilevel Analysis of Skilled Birth Attendance Determinants in Afghanistan.,"INTRODUCTION: The objective of this study was to assess the association between health facility characteristics and other individual/household factors with a woman's likelihood of skilled birth attendance in north-central Afghanistan. METHODS: Data from a 2010 household survey of 6879 households in 9 provinces of Afghanistan were linked to routine facility data. Hierarchical logistic regression models were used to assess determinants of skilled birth attendance. RESULTS: Women who reported having at least one antenatal visit with a skilled provider were 5.6 times more likely to give birth with a skilled attendant than those who did not. The odds of skilled birth attendance were 84% higher for literate women than those without literacy skills and 79% higher among women in the upper 2 wealth quintiles than women in the poorest quintile. This study did not show any direct linkages between facility characteristics and skilled birth attendance but provided insights into why studies assuming that women seek care at the nearest primary care facility may lead to misinterpretation of care-seeking patterns. Findings reveal a 36 percentage point gap between women who receive skilled antenatal care and those who received skilled birth care. Nearly 60% of women with a skilled attendant at their most recent birth bypassed the nearest primary care facility to give birth at a more distant primary care facility, hospital, or private clinic. Distance and transport barriers were reported as the most common reasons for home birth. DISCUSSION: Assumptions that women who give birth with a skilled attendant do so at the closest health facility may mask the importance of supply-side determinants of skilled birth attendance. More research based on actual utilization patterns, not assumed catchment areas, is needed to truly understand the factors influencing care-seeking decisions in both emergency and nonemergency situations and to adapt strategies to reduce preventable mortality and morbidity in Afghanistan.",Journal of midwifery & women's health,2016 Mar-Apr,United States,2016,10
28270912,Living on the edge: precariousness and why it matters for health.,"The post-war period in Europe, between the late 1940s and the 1970s, was characterised by an expansion of the role of by the state, protecting its citizens from risks of unemployment, poverty, homelessness, and food insecurity. This security began to erode in the 1980s as a result of privatisation and deregulation. The withdrawal of the state further accelerated after the 2008 financial crisis, as countries began pursuing deep austerity. The result has been a rise in what has been termed 'precariousness'. Here we review the development of the concept of precariousness and related phenomena of vulnerability and resilience, before reviewing evidence of growing precariousness in European countries. It describes a series of studies of the impact on precariousness on health in domains of employment, housing, and food, as well as natural experiments of policies that either alleviate or worsen these impacts. It concludes with a warning, drawn from the history of the 1930s, of the political consequences of increasing precariousness in Europe and North America.",Archives of public health = Archives belges de sante publique,2017,England,2017,10
30058744,The effects of environmental factors in waiting rooms on anxiety among patients undergoing coronary angiography: A randomized controlled trial.,"BACKGROUND: According to Florence Nightingale's hypothesis, the environment can play a central role in the healing of the patient's body and mind. The nurse should, therefore, strive to provide a healing and stress-reducing environment for patients about to undergo invasive procedures. AIMS: This study aimed to investigate the effects of environmental factors on anxiety as experienced by patients in waiting rooms prior to coronary angiography. METHODS: In this randomized controlled trial, 200 patients undergoing coronary angiography in an urban area of Iran were assigned randomly to the following intervention groups: (1) nature sounds; (2) nature sounds and daylight; (3) nature sounds, daylight, and colour enhancements; and (4) control. Portable monitors were used to measure the patients' physiological indices upon admission and 30 and 60 minutes thereafter. RESULTS: Patients who experienced environmental affecting interventions had significantly lower physiological indices of anxiety than the control group (P < 0.001). Some significance was demonstrated between the three interventions groups, with patients in the intervention group that experienced maximum environmental interventions demonstrating the most overall reduction in anxiety indices. CONCLUSION: Environmental factors were shown to have a positive effect on the indices of anxiety experienced by patients waiting for the procedure of coronary angiography; this is therefore an area of study and practice worthy of further development.",International journal of nursing practice,2018 Dec,Australia,2018,10
26420183,Determinants of dietary self-care behaviours among Taiwanese patients with type 2 diabetes.,"The effects of patient characteristics on reported adherence to dietary self-care behaviours in 184 Taiwanese outpatients 40 years or older with type 2 diabetes was assessed. Patient characteristics included the presence of predisposing factors affecting diabetes adherence (knowledge and attitudes about the disease, self-efficacy, and the absence of psychological problems), enabling factors (understanding of diabetes and environmental factors affecting it), and reinforcing factors (presence of medical and social support) which were evaluated using a 72 item self-administered questionnaire with 8 subscales. Adherence was assessed by patients' reports of carrying out 7 self-care behaviours (following a diabetic meal plan, following the diabetes exchange system, eating meals providing the same amount of carbohydrate every day, counting carbohydrates, reducing dietary fat, consuming high fiber foods, and keeping a daily food record). Reported adherence ranged from 17% to 74%. No single predisposing, enabling, or reinforcing factor predicted adherence to all of the dietary self-care behaviours. However, more self-efficacy, better understanding, and a better attitude toward diabetes were associated with performing five or more of the dietary self-care behaviours examined. With respect to specific self-care behaviours, women were more likely than men to count carbohydrates (OR=5.75) and reduce fat in their diets (OR=2.57). Patients who attended more nutrition education sessions were more likely to follow diabetes meal plans (OR=2.11) and the diabetes exchange system (OR=3.07). Efforts are needed to encourage providers to teach diabetes self-care behaviours to patients and to capitalize upon demographic and psychosocial characteristics that can enhance patient adherence.",Asia Pacific journal of clinical nutrition,2015,Australia,2015,10
30700299,Applying an intersectionality lens to examine health for vulnerable individuals following devolution in Kenya.,"BACKGROUND: Power imbalances are a key driver of avoidable, unfair and unjust differences in health. Devolution shifts the balance of power in health systems. Intersectionality approaches can provide a 'lens' for analysing how power relations contribute to complex and multiple forms of health advantage and disadvantage. These approaches have not to date been widely used to analyse health systems reforms. While the stated objectives of devolution often include improved equity, efficiency and community participation, past evidence demonstrates that that there is a need to create space and capacity for people to transform existing power relations these within specific contexts. METHODS: We carried out a qualitative study between March 2015 and April 2016, involving 269 key informant and in-depth interviews from across the health system in ten counties, 14 focus group discussions with community members in two of these counties and photovoice participatory research with nine young people. We adopted an intersectionality lens to reveal how power relations intersect to produce vulnerabilities for specific groups in specific contexts, and to identify examples of the tacit knowledge about these vulnerabilities held by priority-setting stakeholders, in the wake of the introduction of devolution reforms in Kenya. RESULTS: Our study identified a range of ways in which longstanding social forces and discriminations limit the power and agency individuals can exercise, but are mediated by their unique circumstances at a given point in their life. These are the social determinants of health, influencing an individual's exposure to risk of ill health from their living environment, their work, or their social context, including social norms relating to their gender, age, geographical residence or socio-economic status. While a range of policy measures have been introduced to encourage participation by typically 'unheard voices', devolution processes have yet to adequately challenge the social norms, and intersecting power relations which contribute to discrimination and marginalisation. CONCLUSIONS: If key actors in devolved decision-making structures are to ensure progress towards universal health coverage, there is need for intersectoral policy action to address social determinants, promote equity and identify ways to challenge and shift power imbalances in priority-setting processes.",International journal for equity in health,2019 Jan 30,England,2019,10
29380381,Prevalence of burnout among nurses in Iran: a systematic review and meta-analysis.,"AIM: This study aimed to summarize the available information in the literature to make an accurate estimate of the prevalence of burnout among Iranian nurses. BACKGROUND AND INTRODUCTION: Burnout is a work-related stress syndrome that has negative impact on healthcare providers, patients and healthcare delivery systems. METHOD: A comprehensive search of literature using international [PubMed, Scopus and the Institute for Scientific Information (ISI)] and Iranian scientific data bases [Scientific Information Database (SID), IranMedex and Magiran] was conducted to identify English and Persian language studies, published between 2000 and 2016, that examined the prevalence of burnout among nurses in Iran. The I-squared test and Chi-squared-based Q-test suggested heterogeneity of reported prevalence among the qualified studies; thus, a random-effects model was applied to estimate the overall prevalence of burnout among nurses in Iran. RESULTS: Based on 21 selected articles with 4180 participants, the overall prevalence of burnout among Iranian nurses was estimated to be 36% [95% confidence interval (CI), 20-53%] in Iran. Meta-regression indicated that sample size and year of data collection, mean age of samples, female to male ratio and geographic regions were not statistically significantly associated with the prevalence of burnout. Also, based on Egger's test and funnel plot, there is no publication bias among studies included in the analysis. CONCLUSION: Professional burnout affects more than one-third of nursing staff in Iran; thus, effective interventions and strategies are required to reduce and prevent burnout among nurses. IMPLICATION FOR NURSING AND HEALTH POLICY: Due to the negative consequences of burnout on patients, nurses and organizations, nursing and healthcare managers should intervene to prevent and reduce burnout among nurses in Iran. Policy attention should focus on developing effective interventions to prevent and minimize the burden of burnout among nurses in Iran. Nurses' involvement in the policy-making process is crucial in the implementation of effective programs and initiatives tailored to address the higher prevalence of burnout among Iranian nurses.",International nursing review,2018 Sep,England,2018,10
29966335,Suicide Attempts in Michigan HealthCare System; Racial Differences.,"BACKGROUND: Community-based studies have documented racial differences in social, psychiatric, and medical determinants of suicidal ideation; however, less is known about racial differences in the profile of suicide attempts in clinical settings. AIM: The current study aimed to compare Blacks and Whites who attempted suicide for demographic factors, socioeconomic status, medical history, psychiatric disorders, and outcomes. METHODS: This retrospective study was a retrospective chart review of DataDirect, which is an electronic data repository of the Michigan Health Care System, 2014 to 2017. This analysis included 6147 suicide attempts (5388 Whites and 759 Blacks). Race, sociodemographic factors, medical history, psychiatric disorders, and outcomes were measured. RESULTS: Blacks and Whites with suicide attempt did not differ in age or gender, but varied by insurance type. Blacks were more commonly under Medicare and Medicaid, while Whites were more commonly under private insurance or self-pay (p < 0.05). Blacks with suicide attempt were more likely to be obese, while Whites with suicide attempt were more likely to be underweight. Frequency of psychiatric disorders, including depression, alcohol abuse, drug abuse, and psychosis, were not different between Whites and Blacks with suicide attempt; however, medical conditions showed a different profile across racial groups. When compared to Whites, Blacks had higher prevalence of uncomplicated hypertension, renal failure, chronic obstructive pulmonary disease, coagulopathy, and obesity (p < 0.05 for all comparisons). In contrast, Whites had higher prevalence of other neurological disorders than Blacks. There were no differences in in-patient survival rate between Whites and Blacks who attempted suicide. CONCLUSION: There are considerable differences between Blacks and Whites with at least one suicide attempt. Although their psychiatric diagnoses seem to be similar, Blacks who have attempted suicide attempt have more medical comorbidities than their White counterparts. Lack of racial disparities in in-patient mortality rate of suicide attempts in the Michigan Health Care System is promising news given the higher physical health needs of Blacks when compared to Whites.",Brain sciences,2018 Jun 30,Switzerland,2018,10
26817422,Mechanism of leaf-cutting ant colony suppression by fipronil used in attractive toxic baits.,"BACKGROUND: Attractive toxic baits are the prevailing method for managing leaf-cutting ants in the eucalypt forests planted for the production of pulp, paper, timber and charcoal. For successful use in these baits, the insecticidal compounds need to circumvent the typical defences of the eusocial leaf-cutting ants. The challenge is to have an insecticide in the bait that will not directly harm and/or compromise foraging workers, but that will eventually suppress the colony. These underlying mechanisms are poorly known, and here the potential mechanism of fipronil activity in toxic baits for leaf-cutting ants was assessed using colonies of the representative Neotropical Acromyrmex subterraneus subterraneus (Forel, 1893). RESULTS: Although forager activity was not directly impaired by fipronil, the insecticide affected forager nestmate interactions (auto- and allogrooming) and waste removal and, more importantly, greatly affected the minor workers, impairing their activities of fungus garden cultivation and progeny handling. The fast decay of the fungus garden compromised the sustainability of the colonies, ultimately leading to their demise within 8 days. CONCLUSION: The behavioural effects of sublethal insecticide exposure towards minor workers are the main determinants of insecticide activity as ant baits and should be targeted in developing such compounds. (c) 2016 Society of Chemical Industry.",Pest management science,2016 Aug,England,2016,10
29888866,Breastfeeding practices in the United Kingdom: Is the neighbourhood context important?,"Breastfeeding is an important public health issue worldwide. Breastfeeding rates in the United Kingdom, particularly for exclusive breastfeeding, are low compared with other OECD countries, despite its wide-ranging health benefits for both mother and child. There is evidence that deprivation in the structural and social organisation of neighbourhoods is associated with adverse child outcomes. This study aimed to explore whether breastfeeding initiation, exclusive breastfeeding for at least 3 months, and any type of breastfeeding for at least 6 months were associated with neighbourhood context measured by neighbourhood deprivation and maternal neighbourhood perceptions in a nationally representative U.K. SAMPLE: A cross-sectional analysis was conducted using data from the Millennium Cohort Study. Logistic regression was carried out on a sample of 17,308 respondents, adjusting for individual- and familial-level socio-demographic characteristics. Neighbourhood deprivation was independently and inversely associated with breastfeeding initiation. Compared with the least deprived areas, the likelihood of initiating breastfeeding was 40% lower in the most deprived neighbourhoods (OR: 0.60, 95% CI [0.50, 0.72]). The relationship between both exclusive and any type of breastfeeding at 3 and 6 months respectively with neighbourhood deprivation after adjustment for potential confounders was not entirely linear. Breastfeeding initiation (OR: 0.78, 95% CI [0.71, 0.85]), exclusivity for 3 months (OR: 0.84, 95% CI [0.75, 0.95]), and any breastfeeding for 6 months (OR: 0.82, 95% CI [0.73, 0.93]) were each reduced by about 20% among mothers who perceived their neighbourhoods lacking safe play areas for children. Policies to improve breastfeeding rates should consider area-based approaches and the broader determinants of social inequalities.",Maternal & child nutrition,2018 Oct,England,2018,10
23503540,[Health insurance coverage of the elderly and socioepidemiological characteristics associated].,"OBJECTIVE: To examine sociodemographic and epidemiological factors associated with private health insurance coverage in the elderly. METHODS: A total of 2,143 individuals aged 60 years or more were interviewed in the city of Sao Paulo in 2000 and 2006. Having private health insurance was the dichotomous dependent variable. Independent variables included sociodemographic characteristics and self-reported health status. The proportions of the variables studied were described and a logistic regression model considering those variables significant at p < 0.05 was constructed. RESULTS: The elderly with private insurance coverage had significantly higher income and education. The elderly with no private insurance were screened less for cancer and more for respiratory diseases; they waited longer for appointments; they performed less medical tests; they reported fewer conditions and more falls and had a more negative self-rated health. The insured respondents reported lower vaccination rates and, among those hospitalized, 11.1% had their medical costs covered by the Brazilian National Health System (SUS) in 2000 and 17.9% in 2006. Osteoporosis was the single condition associated with private health insurance. CONCLUSIONS: The elderly with private insurance coverage had significantly higher income and education than those with no private coverage, and these differences were associated with service utilization and social determinants of health.",Revista de saude publica,2012 Dec,Brazil,2012,10
