PMID,TI,AB,JT,DP,PL,YY,year
8666516,[Causality in occupational health: the Ardystil case].,"Establishing causal relationships has been and is today a matter of debate in epidemiology. The observational nature of epidemiological research rends difficult the proving of these relationships. Related to this, different models and causal criteria have been proposed in order to explain health and disease determinants, from pure determinism in Koch postulates, accepting unicausal explanation for diseases, to more realistic multicausal models. In occupational health it is necessary to formulate causal models and criteria to assess causality, and frequently causal assessment in this field has important social, economic and juridical relevance. This paper deal with evaluation of causal relationships in epidemiology and this evaluation is illustrated with a recent example of an occupational health problem in our milieu: the Ardystil case.",Gaceta sanitaria,1995 Nov-Dec,Spain,1995,90
2270509,Assessing the reproductive behavior of on- and off-reservation American Indian females: characteristics of two groups in Montana.,"Only limited fertility and general reproductive health data exist on American Indians. Using data from the 1987 Montana American Indian Health Risk Assessment, we found that the fertility of American Indians in Great Falls and on the Blackfeet Reservation was similar to blacks in the U.S. and relatively high when compared with fertility of whites in the United States. The influence of the direct determinants of fertility (nuptiality, contraceptive use, and lactation) was very different for the populations examined in this study. Great Falls American Indians and the U.S. black population were similar regarding age at first sexual intercourse (very young), breastfeeding (low prevalence and short duration), planning status of pregnancies (high unplanned), and contraceptive use (only moderate use). In contrast, Blackfeet women on the reservation and the U.S. white population married relatively late, had very high contraceptive use, used effective methods of contraception, and had moderately high levels of breastfeeding. However, Blackfeet fertility was much higher than that of whites. Three interrelated reasons are suggested as possible explanations. Blackfeet couples either wanted high fertility, were relatively poor users of family planning methods, or used less effective methods until they had exceeded their desired family size after which time they turned to sterilization. These finds raise numerous questions concerning the social and economic factors that may account for these group similarities and differences. Further studies with much larger data sets are needed to address these issues adequately.",Social biology,1990 Spring-Summer,United States,1990,90
1750947,Medical students' professional ethics: defining the problems and developing resources.,"An AAMC working group concluded that medical educators have paid insufficient attention to students' development of professional standards and to the immediate ethical dilemmas that students face as students. Its discussion of the primary determinants of medical students' ethical development focused on improving: (1) the evaluation of candidates for admission; (2) the medical school learning climate, including recognition of the challenges inherent in the increasing cultural diversity among students and patients; and (3) communication to students of expectations of professional behaviors and standards. An AAMC initiative is outlined that includes preparation of a resource book featuring cases illustrating common ethical dilemmas that medical students face, descriptions of effective honor systems, suggestions for faculty development, and an annotated bibliography.",Academic medicine : journal of the Association of American Medical Colleges,1991 Dec,United States,1991,90
7500175,"Exclusive breast-feeding duration is associated with attitudinal, socioeconomic and biocultural determinants in three Latin American countries.","International health organizations have recommended exclusive breast-feeding (EBF) (i.e., breast milk as the only source of food) as the optimal infant feeding method during the first 4-6 mo of life. Therefore, it is important to document the determinants of EBF in different populations. Low-income urban women from Brazil (n = 446, 2 maternity wards), Honduras (n = 1582, 3 maternity wards) and Mexico (n = 765, 3 maternity wards) were interviewed at birth and in their homes at 1 mo and 2-4 mo after delivery. Multivariate survival analyses (Cox model) indicated that planned duration of EBF (all 3 countries), having a female infant, and not being employed (Brazil and Honduras), lower socioeconomic status (Honduras and Mexico) and higher birth weight (control hospital in Brazil and Honduras) were positively associated (P < or = 0.10) with EBF. Women who delivered in the maternity wards that had more developed breast-feeding promotion programs were more successful with EBF. The association between maternal education and EBF was modified by the maternity ward in Mexico and Honduras. Being > or = 18 y and having a partner living (Brazil) or not (Mexico) living at home were positively associated with EBF. These findings can contribute toward the design of EBF promotion efforts in Latin America.",The Journal of nutrition,1995 Dec,United States,1995,90
2005270,Schematic and situational determinants of depressed and nondepressed students' interpretation of feedback.,"We examined whether depressed persons' social skill deficits contribute to their negative cognitions and whether this contribution is independent of their negative schemata. Depressed (n = 60) and nondepressed (n = 60) subjects engaged in group discussions. We assessed subjects' social competence schemata with a questionnaire and subjects' actual level of social competence in the discussion through objective ratings made by codiscussants and outside observers. We found that independently of their negative schemata, depressed subjects' social skill deficits explained a significant portion of the variance in their more negative interpretation of feedback (relative to nondepressed subjects'). This suggests that real deficits in depressed persons' performance compound the effects of their negative schemata and further contribute to their negative cognitions. We also further explored findings by Dykman et al. (1989) and Lewinsohn et al. (1980).",Journal of abnormal psychology,1991 Feb,United States,1991,90
8355899,"Urban, low-income, African-American and Hispanic youths' negative experiences with condoms. Implications for nursing intervention.","Research suggests that the rate of HIV infection is increasing dramatically in African-American and Hispanic youths who live in low-income, urban areas. Nurses need information about these youths' negative experiences with condoms to intervene effectively in the spread of acquired immune deficiency syndrome. This article discusses negative experiences with using condoms that were reported by a subsample of condom users (n = 975) from a household probability sample of low-income, urban, African-American and Hispanic youths. Condom users were asked about 12 different negative experiences with condoms. Results from this household survey highlight a need for nurses to provide clients with specific directions about how to use condoms correctly and to encourage clients to practice putting on condoms.",The Nurse practitioner,1993 May,United States,1993,90
7761906,Smoothed breastfeeding durations and waiting time to conception.,"Breastfeeding beyond the resumption of mother's menstruation plays a significant role in the proximate determinants of fertility. Breastfeeding and postpartum amenorrhoea data collected from retrospective surveys usually exhibit digit preferences. Here, these heaping errors were smoothed by B-spline and used in multivariate models of risk of conception to investigate the contraceptive effect of breastfeeding. The data used come from a 1987 Indian survey. Results show that lactation, after mother's menses resume, reduces the risk of conception. Heaping in breastfeeding data attenuates this relationship. When adjustment is made, breastfeeding reduced the rate of conception by 47 per cent; the reduction, with adjusted data, was 63 per cent.",Social biology,1994 Fall-Winter,United States,1994,90
1529379,The effect of the social organization of work on the voluntary turnover rate of hospital nurses in the United States.,"In light of current concerns over nursing shortages and productivity, voluntary turnover among hospital nurses in the United States has assumed renewed importance as a managerial issue. This study examines the thesis that the social organization of work in hospitals is an important determinant of the voluntary turnover rate among registered nurses. This perspective differs from previous work in this area in that both turnover and its determinants are conceptualized at the organizational rather than individual level, thus opening the way for administrative intervention to reduce turnover. The conceptual model is tested using multiple regression techniques on a sample of 435 hospitals. Results suggest that organizational characteristics and environmental conditions are important contributors to turnover. Organizational characteristics are stronger predictors of turnover than are economic factors.",Social science & medicine (1982),1992 Jun,England,1992,90
9792369,"Targeted intervention research studies on sexually transmitted diseases (STD): methodology, selected findings and implications for STD service delivery and communications.","OBJECTIVE: To report the findings of qualitative studies designed for use in improving sexually transmitted disease (STD) programs. The studies explore illness conceptions and treatment behaviors for STD in five African countries. These targeted intervention research (TIR) studies were performed on clinic-based and community-based samples in representative communities and utilized a variety of qualitative research methods (e.g. in-depth and key informant interviews, focus group discussions). FINDINGS: Study findings revealed that community members' explanations of symptoms, classification of illnesses, and perceptions of whether symptoms are pathological or serious influence individual health-care-seeking behaviors. Data also showed that local terms for STD are often disparaging and do not fit into biomedical designations. STD patient care-seeking frequently reflects an ordered, albeit loosely constructed, process of elimination in pursuit of symptom relief, wherein alternative treatments are tried and proven effective or abandoned. CONCLUSIONS: The TIR studies highlight the importance of community-specific strategies aimed at increasing prompt care seeking at qualified biomedical facilities. Information from study data should lead programs to sensitize health professionals to community understanding about STD and to design services and communication programs that are meaningful and appropriate to local contexts.","AIDS (London, England)",1998,England,1998,90
1921101,"[Correlations among body weight, life style and health status in Korean adults].","Correlations among body weight and sociodemographic factors, including life-style were tested as social determinants of health in a sample of 5,201 adults in Korea. The aim of this study was to determine the extent to which sociodemographic variables and life-style associated health behaviors explain body weight distribution. A second aim was to explain the relation of body weight and health status to stress the importance of body weight as an early risk indicator of health status. The canonical correlation between the weight distribution (underweight and overweight) and the independent variables was 0.29, 17% of the total variance was explained. Perceived health level represented the highest contribution (canonical coefficient 0.82) to body weight. Sociodemographic factors such as sex, economic status, and life-style factors such as smoking, exercise, regular meals and sleep showed comparatively high contributions to body weight. The relevance of body weight for health status including the rate of chronic disease and the rate of medical utilization was significant. Especially, underweight was clarified as being more important than overweight to morbidity level and medical utilization. These findings suggest that perceived body weight is an important indicator of health status and is thus a valuable variable to be considered for nursing intervention and health education related to the promotion of health.",Kanho Hakhoe chi [The Journal of Nurses Academic Society],1991 Aug,Korea (South),1991,90
