PMID,TI,AB,JT,DP,PL,YY,year
16250705,"Social cognitive and physical health determinants of exercise adherence for HIV-1 seropositive, early symptomatic men and women.","This study examined social cognitive and physical health factors that might explain variations in exercise adherence in a 3-month supervised exercise intervention for a group of mildly symptomatic, HIV-1 seropositive men and women. The social cognitive predictor variables were outcome expectations and self-efficacy. The physical health predictor variables included CD4+ cell counts, self-report inventories of physical symptoms, and physicians' examinations. Self-report inventories of physical symptoms were associated with physicians' examinations and combined into a composite measure of physical health. Criterion variables included exercise adherence rates, VO2max change, and status as a 'remainder' versus 'drop-out.' The composite measure of physical health emerged as a significant predictor of adherence rate and gave perfect prediction of remainers and a moderate prediction of dropouts. No significant associations were observed between the social cognitive predictors and adherence. Results suggest that for this population physical health status is a better predictor of exercise adherence than either perceived self-efficacy or outcome expectancy.",International journal of behavioral medicine,1998,England,1998,90
16203507,The interplay of drinking patterns and other determinants of health.,"The health effects of alcohol are determined not only by level of intake but also by patterns of alcohol use and many other health determinants. This study seeks to identify groups of individuals who share various features in terms of drinking styles and other health indicators. Data used are a subset of the 1990 Ontario Health Survey, corresponding to men and women aged 20-64 with complete data in four substantive areas: alcohol use; demographic characteristics; current health status; and various behavioural risk factors for chronic disease. Cluster analysis was used to groups of male and female respondents who were similar in terms of their style of alcohol use, along with other constructs relevant to health risk and health status. For both sexes, clusters were identified which matched expectation in terms of drinking patterns and other relevant variables. For both sexes, clusters were found with generally higher social class indicators, generally positive health behaviours and health status and drinking patterns which did not include drinking to excess. Clusters were also found for which high-volume drinking occasions corresponded with poor health status and high levels of risk factors for chronic disease. Other unanticipated patterns were also identified. This information may assist in identifying confounding effects in epidemiological studies as well as identifying the characteristics of unique sub-populations which are likely to be the focus of primary prevention efforts.",Drug and alcohol review,1998 Dec,Australia,1998,90
15647133,Paranoid cognition in social systems: thinking and acting in the shadow of doubt.,"Distrust and suspicion are common and recurring problems at all levels of social organization, ranging from the interpersonal to the collective. Unfortunately, our understanding of the origins and dynamics of such distrust and suspicion remains far from complete. A primary aim of this research, accordingly, was to articulate a new framework for conceptualizing a form of exaggerated distrust and suspicion termed paranoid social cognition. Drawing on recent psychological theory and research, this framework identifies the social cognitive underpinnings of paranoid cognitions. It also specifies some of the situational determinants of such cognition and elaborates on the psychological, behavioral, and social dynamics that sustain them.","Personality and social psychology review : an official journal of the Society for Personality and Social Psychology, Inc",1998,United States,1998,90
15259193,Elite formation under occupation: the internal stratification of palestinian elites in the West Bank and Gaza Strip.,"This paper examines the internal stratification of Palestinian elites in the West Bank and Gaza Strip under Israeli occupation. Our general aim is to clarify the extent to which social and political subordination to outside rule influences the development of indigenous elites in stateless societies. In contrast to nation-state societies, such elites may be horizontally stratified into a wider range of institutional settings, and vertically stratified by anti-occupation activism alongside the attainment of occupational prestige. In addition, context-specific determinants of their stratification patterns, such as refugee status, regionality, and country in which educational credentials were acquired, should be considered. A secondary content analysis of interviews conducted by the Palestinian Panorama centre with 249 elite members reveals, that the vertical stratification of Palestinian elites along occupational attainment and anti-occupation activism constitutes two quite independent status dimensions. A multinomial logit regression shows that, horizontally, elite groups are embedded in four distinct types of institutional activity, further demonstrating the multi-faceted formation of Palestinian elites. Contextual resources, such as refugee versus non-refugee status, regionality, and the acquiring of Western credentials, have differential effects on the vertical and horizontal stratification of Palestinian elites. The implications of these findings for further research on elite formation in the post-Oslo Palestinian society and in other stateless societies are discussed in conclusion.",The British journal of sociology,1999 Sep,England,1999,90
15073910,QUALYOP project 2: monitoring the dismantling of Italian psychiatric hospitals. Psychotropic drug use in 1072 inpatients.,"OBJECTIVE: This study describes the use of psychotropic drugs in a sample of eight Italian psychiatric hospitals. METHODS: A cross-sectional approach was used to collect information about sociodemographic and clinical characteristics of the inpatient population, and about medications prescribed. Prescribing behaviour in the hospitals was compared using three indicators: the number of patients taking psychotropic drugs, the use of high doses of neuroleptics and the use of multiple neuroleptics. RESULTS: More than a thousand patients were resident in the eight hospitals on the census day, 56% of them males. Half the population had an ICD-X diagnosis of schizophrenia, one third of mental retardation. Sixty-nine percent of the sample was on neuroleptic therapy, nearly 47% on benzodiazepines and 4% on antidepressants. Twenty percent of the sample did not take any psychotropic drug on the census day. After adjustment for sociodemographic and clinical variables, setting-related variables resulted as determinants of psychotropic drug use. CONCLUSIONS: These data call for continuing education in psychopharmacology towards a more rational use of drugs; longitudinal audits of clinical practice should be implemented to guide clinicians toward a more rational use of psychotropic drugs.",Pharmacoepidemiology and drug safety,1999 Aug,England,1999,90
14685545,[High blood pressure in children and adolescents: determinant factors],"OBJECTIVE: To review the state of prevalence of hypertension in childhood and the importance of its possible determinants. METHODS: Analysis of the literature concerned with eleven possible determinant factors - experimental design, internal and external validity. RESULTS AND CONCLUSIONS: Central body fat pattern seems to be a risk factor, while heart rate and tracking would be true markers of future hypertension. Social class, biological maturation, race, sodium intake and genetic factors have not yet been validated through unbiased studies.",Jornal de pediatria,1999 Mar-Apr,Brazil,1999,90
14618012,Factors associated with health perception of Saudi elderly.,"To study the pattern and determinants of health perception among Saudi elderly a cross-sectional house-hold survey of 6,139 elderly in Saudi Arabia performed between January 1994 and December 1995. A stratified two stage sampling technique was used to select the elderly subjects (60 years and above). Using a pre-designed, pre-tested questionnaire, the subjects' physical, mental, social and environmental health status and health perception were assessed via personal interviews completed by trained researchers. The poor health perception was predominant among females and more with advanced age (75 years and more). It was also found to be associated with more social and economical underprivileges, and independence as measured by an Activity of Daily Living (ADL) scale. Multivariate analysis revealed the most significant determinants of poor perception of health as follows: inability to perform prayers standing (OR = 3.36; p < 0.0000), and the number of diagnoses (OR = 3.33; p = 0.000). A significant correlation was found between hospital visits, number of diagnoses and health perception. These socio-demographic and socio-medical factors found to be important determinants of health perception among Saudi elderly need to be modified.",Journal of cross-cultural gerontology,1999 Dec,Netherlands,1999,90
14528548,Psychosocial correlates of cancer relapse and survival: a literature review.,"This article reviews literature on the psychosocial correlates of cancer relapse and survival from 1979 through 1995. The factors studied were structured according to a theoretical model of coping with cancer. Reviewed studies have shown that factors most frequently evaluated were depression, anxiety, hopelessness/helplessness, hostility, marital status and social involvement. Mainly inconsistent results were found. The strongest evidence for a relationship between psychosocial variables and prognosis was found for social involvement/social support; in 7 of 15 studies a positive relationship was demonstrated, while no negative associations were found. Coping styles e.g., fighting spirit and stoic acceptance, and severe/stressful life events were found to have no conclusive influence on the length of survival. Important determinants of the coping model, such as uncertainty and information given by the specialist were not studied as possible predictors of survival and/or relapse free period. Among the factors that showed no correlation at all was multidimensional health locus of control. For the inconsistent findings, a considerable number of methodologic shortcomings with respect to study design, sample size, measure and statistical analysis are enumerated.",Patient education and counseling,1999 Jul,Ireland,1999,90
12689499,Personal and social variables as co-determinants of noise annoyance.,"This paper starts with the fact that noise annoyance is partly due to acoustic factors, partly due to so-called moderating variables, i.e. personal and social aspects of the residents. Noise annoyance is considered to be the (long-term) negative evaluation of living conditions with respect to noise. This evaluation is not simply dependent on past disturbances, but on attitudes and expectations, too. The personal factors influencing the evaluation and described here are: Sensitivity to noise, fear of harm connected with the source, personal evaluation of the source, and coping capacity with respect to noise. The social factors described here are: General (social) evaluation of the source, trust or misfeasance with source authorities, history of noise exposure, and expectations of residents. For most of these variables, data from different community studies are used in order to illustrate the respective moderating effect on annoyance. In addition, some of the moderators are presented as possible tools in order to reduce noise annoyance. It is expected that a significant decrease in a negatively moderating variable is as effective in reducing noise annoyance, as is a significant decrease in noise level.",Noise & health,1999,India,1999,90
12349718,Correlates of child mortality in Pakistan: a hazards model analysis.,"This study investigated factors associated with child mortality in an area in Rawalpindi, one of the large cities of Pakistan. Using both demographic and anthropological methods, the research was conducted to specifically examine the process and mechanisms whereby a link is established between child mortality and its covariates. Controlling for the socioeconomic status as a determinant of child mortality, the study population was limited to a lower income stratum living in a homogeneous environment where all households had equal access to health-related and other facilities. Results of the proportional hazards model analysis on 1301 index children suggest that non-economic factors like maternal health-seeking behavior were related to high child mortality. The cultural norm of bearing a large number of children was the most significant correlate. In order of significance, this was followed by contraceptive use, current age of the mother, age at marriage, and the hygienic conditions of the household. The study provides strong evidence of familial clustering of mortality by order of the household.",Pakistan development review,1999 Spring,Pakistan,1999,90
