sentence_source,label,label_notes,sentence
26499771,0,a,"BACKGROUND: There is little evidence as to why or why not insurees decide to seek medical services. Steps prior to the entry of the insuree into the professional health care system have not been sufficiently examined and can only be partially described by secondary data of the statutory health insurance (SHI). We report the first investigation using case vignettes based on the generic health-related quality of life questionnaire EQ-5D as part of a choice study to assess insurees' stated preferences in health services utilization. METHODS: We invited 1500 randomly selected citizens (age 30 to 70 years) from the East German state of Saxony-Anhalt by postal mail to participate in the choice study. Attributes of the case vignettes involved in choice tasks were the five dimensions of the EQ-5D. We used multilevel mixed effects logit regression analysis with the dependent variables: preference to seek medical services (model 1) and preferred time until consultation (model 2) for the assessed case vignette. The EQ-5D attributes of the case vignettes and participant characteristics served as the independent variables. We also included the respondent's certainty of choosing from the choice set, and the order of questions of the questionnaire as control variables. RESULTS: Of the 1500 questionnaires 683 were evaluable (net response rate 48.0%). On the level of the case vignettes, problems in all five dimensions of the EQ-5D were statistically significant factors of the estimated likelihood to seek medical services (model 1). On the respondent level, there was a significant relationship between the preference for medical consultation for the assessed case vignette and the respondent's gender, age, educational level, the existence of a regular doctor, and the certainty of choosing from the choice set. Problems in four of the five dimensions of the EQ-5D (except anxiety/depression) of the case vignettes were significantly associated with the preferred time until consultation (model 2). On the respondent level, gender, educational level, the certainty of choosing from the choice set, and the order of questions of the questionnaire were significant determinants of the time until consultation. CONCLUSIONS: Our study offers a promising new approach for the national and cross-national study of preferences in health services utilization from the insurees' perspective."
28446253,0,a,"BACKGROUND: The present research aimed to investigate the efficacy of a multifaceted intervention that included motivational interviewing (MI) and psychoeducation in improving medication adherence (MA) among patients with bipolar disorder (BD). METHOD: A multicenter, cluster randomized, observer-blind, controlled, parallel-group trial was conducted in ten academic centers in Iran. Patients with BD were randomly assigned to the experimental group (EXP; n = 136) or the usual care group (UC; n = 134). The EXP group received five sessions of MI and psychoeducation together with their family members. The primary outcome measure was changes in scores on the Medication Adherence Rating Scale from baseline to 6 months post-intervention. Other outcome measures included serum levels of mood stabilizers, clinical symptoms, quality of life, as well as measures of intention, beliefs about medicine, perceived behavioral control, automaticity, action and coping planning, and adverse reactions. RESULTS: Medication adherence improved over time in both groups, but patients in the EXP group improved more (baseline score: 6.03; score at the sixth month: 9.55) than patients in the UC group (baseline score: 6.17; score at the sixth month: 6.67). In addition, patients in the EXP group showed greater improvement than patients in the UC group in almost all secondary outcomes 6 months following the intervention. CONCLUSIONS: Multifaceted interventions that include motivational-interviewing and psychoeducation can significantly improve MA and clinical and functional outcomes in patients with BD. TRIAL REGISTRATION NUMBER: The trial was registered with theClinicalTrials.gov database (NCT02241863) https://clinicaltrials.gov/ct2/show/NCT02241863."
24441832,0,a,"Limited data on smoking prevalence allowing valid between-country comparison are available in Europe. The aim of this study is to provide data on smoking prevalence and its determinants in 18 European countries. In 2010, within the Pricing Policies And Control of Tobacco in Europe (PPACTE) project, we conducted a face-to-face survey on smoking in 18 European countries (Albania, Austria, Bulgaria, Czech Republic, Croatia, England, Finland, France, Greece, Hungary, Ireland, Italy, Latvia, Poland, Portugal, Romania, Spain and Sweden) on a total of 18 056 participants, representative for each country of the population aged 15 years or older. Overall, 27.2% of the participants were current smokers (30.6% of men and 24.1% of women). Smoking prevalence was highest in Bulgaria (40.9%) and Greece (38.9%) and lowest in Italy (22.0%) and Sweden (16.3%). Smoking prevalence ranged between 15.7% (Sweden) and 44.3% (Bulgaria) for men and between 11.6% (Albania) and 38.1% (Ireland) for women. Multivariate analysis showed a significant inverse trend between smoking prevalence and the level of education in both sexes. Male-to-female smoking prevalence ratios ranged from 0.85 in Spain to 3.47 in Albania and current-to-ex prevalence ratios ranged from 0.68 in Sweden to 4.28 in Albania. There are considerable differences across Europe in smoking prevalence, and male-to-female and current-to-ex smoking prevalence ratios. Eastern European countries, lower income countries and those with less advanced tobacco control policies have less favourable smoking patterns and are at an earlier stage of the tobacco epidemic."
15797980,1,a,"OBJECTIVES: Systemic lupus erythematosus (SLE), a chronic illness with an unpredictable and variable course, profoundly affects the quality of life (QOL). General health questionnaires are used to assess QOL in SLE, but a disease-specific instrument could offer enhanced responsiveness and content validity. We detail the steps we took to develop and validate a new SLE-specific QOL instrument, SLEQOL. METHODS: Rheumatology professionals nominated items that they felt were important determinants of QOL of SLE patients. One hundred SLE patients were asked to assess the importance and frequency of occurrence of these items and to suggest those that had not been listed. Item reduction was performed using Rasch model and factor analyses to create a new questionnaire in English. This final questionnaire was administered to a cohort of 275 patients to study its psychometric properties. RESULTS: Fifty-one items covering a wide range of QOL concerns were identified. The patients' responses led to the elimination of 11. The new questionnaire of 40 items was found to have Cronbach's alpha of 0.95 and to consist of eight domains covering physical, mental and social QOL issues. It has good test-retest reliability, poor to fair cross-sectional correlation with the SF-36, with poor correlation with lupus activity or damage indices. The SLEQOL was more responsive to change than the SF-36. CONCLUSIONS: We have developed a new 40-item SLEQOL in English and showed that it is valid for use in SLE patients in Singapore. It offers better content validity and responsiveness to change than the SF-36."
17929613,1,a,"BACKGROUND: The term Naturally Occurring Retirement Communities (NORCs) has been used since the 1980s. NORCs are defined as communities where people remain or move to when they retire. NORCs develop 'naturally', meaning that seniors tend to remain or move there when they retire, although the residences and physical environment were not constructed for a senior population. The term, Healthy-NORC, has been introduced and is associated with healthy aging. OBJECTIVES/METHODS: We describe how demographic trends will facilitate a dramatic growth in NORCs. Acknowledging the 'Determinants of Health' model, we suggest that some determinants impact people differently at different ages. We also suggest that more attention be focused on the impact of physical/social environments on health, and that some determinants of health are particularly relevant for seniors. We argue that NORCs exist on a spectrum, from NORC to H-NORC, and that health benefits for seniors increase as NORCs adopt additional characteristics associated with improved senior health. We also illustrate H-NORC research methods and policy options for local governments. RESULTS/CONCLUSION: Compared to the provision of additional medical and social services, H-NORCs represent a low-cost approach to facilitating healthy aging. Municipal governments can promote healthy aging and should pursue policies that will stimulate H-NORC development."
16954510,1,a,"ISSUES: The Health Care Quality Indicator (HCQI) Project of the Organization for Economic Cooperation and Development (OECD), which is aimed at developing a set of indicators for comparing the quality of health care across OECD member countries, requires a balanced conceptual framework that outlines the main concepts and domains of performance that should be captured for the current and subsequent phases of the project. ADDRESSING THE ISSUES: This article develops a conceptual framework for the OECD's HCQI Project. It first argues that developing such a framework should start by addressing the question, 'performance of what-and to what ends?' We identify at least two different major classes of frameworks: (i) health and (ii) health care performance frameworks, both of which are in common use. For the HCQI, we suggest a conceptual framework that is largely a purposeful modification of the existing performance frameworks and which is driven by the health determinants model. CONCLUSIONS: The conceptual basis for performance frameworks can be traced back to the health determinants model. A health performance framework takes a broader, societal or public health view of health determination, whereas a health care performance takes a narrower, mostly clinical or technical view of health care in relation to health (needs). This article proposes an HCQI framework that focuses on the quality of health care, maintains a broader perspective on health and its other determinants, and recognizes the key aims of health policy."
17315529,1,a,"BACKGROUND: There are conflicting findings regarding the relationship between socio-economic status (SES) and bone mineral density. We aimed to investigate bone status and its possible determinants by comparing students from two schools, located in a high and a low SES district. METHODS: Data were gathered by using anthropometric measurements and a questionnaire for both families and the students from the two schools chosen by the Ministry of Education. Quantitative ultrasound measurements were done with Omnisense 700P. For normally distributed variables t-test and for others Mann-Whitney U test was utilized. We used the chi-squared test for nominal variables. RESULTS: Forty-two girls and 35 boys from a low SES school, and 41 girls and 38 boys from a high SES school were included in the study. Students in the high SES school had significantly higher calcium scores and more physical activity compared to those in the low SES school. Boys in the high SES school had higher z-scores for quantitative ultrasound; however, they had higher Tanner stages when compared to boys from the low SES school. Speed of sound (SOS) and z-scores of the girls were similar between the two schools. CONCLUSIONS: This study supports the notion that certain environmental factors, such as calcium intake and physical activity, might reflect socioeconomic trends in adolescents, similar to adults; however, genetic influences may dominate in terms of bone status."
26168045,0,a,"The growing scarcity of water resources worldwide is conditioned not only by precipitation changes but also by changes to water use patterns; the latter is driven by social contexts such as capital intensity, trade openness, and income. This study explores the determinants of water use by focusing on the effect of trade openness on the degree to which water is withdrawn and consumed. Previous studies have conducted analyses on the determinants of water use but have ignored the endogeneity of trade openness. To deal with this endogeneity problem, we adopt instrumental variable estimation and clarify the determinants of water use. The determinants of water use are divided into scale, technique, and composition effects. Calculating each trade-induced effect, we examine how trade openness affects the degree of water use. Our results show that while trade has a positive effect on water withdrawal/consumption through trade-induced scale effects and direct composition effects, the trade-induced technique and the indirect composition effect, both of which exhibit a negative sign, counteract the scale effect and the direct composition effect, resulting in reduced water withdrawal/consumption. The overall effect induced by trade is calculated as being in the range of -1.00 to -1.52; this means that the overall effect of a 1% increase in the intensity of trade openness reduces the degree of water withdrawal/consumption by roughly 1.0-1.5%, on average. This result indicates that international bilateral trade would promote efficient water use through the diffusion of water-saving technologies and the reformation of industry composition."
11761316,1,a,"Two studies examined how ""syndromal"" approaches to assessment confound differences between individuals in the person and situation variables that contribute to their behavior. In a field study, a widely used instrument was found to be sensitive to the base rates of boys' aggression but, as expected, did not discriminate between boys who were similar in their behavior base rates but different in their social environments and how they responded to them. A laboratory experiment replicated this finding and demonstrated that social observers discriminated between targets on the basis of their functional properties even though syndrome scores did not. The results clarify how syndromal methods can obscure situational factors, conflict with people's social knowledge, and reinforce the view that syndromes exist ""in the individual"" rather than in person-environment interactions. Implications for developing more contextually sensitive instruments are discussed."
16053643,1,a,"OBJECTIVES: To investigate the influence that demographic determinants, socioeconomic determinants, chronic diseases, and functional capacity have on self-rated health among elderly persons (60 years and older) living in the city of Sao Paulo, Sao Paulo, Brazil, and to investigate the existence of differences between men and women in terms of their self-rated health. METHODS: The study was carried out using data collected in the city of Sao Paulo as part of a project called Health, Well-being, and Aging in Latin America and the Caribbean (the ""SABE project""). We analyzed data on 2,135 elderly individuals (58.6% women; mean age, 69.4 years; median age, 68.0 years). The dependent variable was self-rated health (good or poor). The following independent variables were considered: (1) demographic ones (age, sex, marital status, and living arrangements (whether the elderly person lived alone or with others)), (2) socioeconomic ones (schooling and income), (3) the number of chronic diseases (hypertension, arthritis or rheumatism, cardiovascular disease, diabetes, asthma, bronchitis or emphysema, embolism or stroke, and cancer), and (4) functional capacity. To estimate the association between self-rated health and the independent variables and to study gender differences, a multiple binary logistic regression analysis was performed. RESULTS: The presence of chronic diseases in association with gender was the strongest determinant of self-rated health among the elderly in Sao Paulo. Among men with four or more chronic diseases, they were 10.53 times as likely to characterize their health as poor; among women with four or more chronic diseases, the ratio was 8.31. Functional capacity, schooling, and income were also strongly associated with self-rated health, and the influence of age was significant. The elderly women were more likely to report good self-rated health than were men when the women or men either had no chronic diseases or had two or more. CONCLUSIONS: Our results indicate the need for simultaneous, comprehensive actions in the health sector, social services, and the economic sector to address the main determinants of self-rated health in order to promote well-being and quality of life among the elderly."
