12481209	0	a	OBJECTIVE: The Russian mortality crisis of the early 1990s attracted considerable attention, but information on possible covariates of mortality is lacking, and concerns have been raised about the validity of official mortality data. To help elucidate the determinants of mortality, we examined whether indirect demographic techniques could be used to study mortality in countries such as the Russian Federation, where mortality data are inadequate, using input data independent from official vital statistics. METHODS: A national sample of the population was interviewed (n = 1600, response rate = 67%). Participants who had ever been married (82% of the sample) were asked about the date of birth and vital status of their first spouse. Spousal mortality was then estimated indirectly for the 531 men and 710 women for whom valid data were available. FINDINGS: The estimated risk of death between the ages of 35-69 years was 57% for male spouses and 17% for female spouses. Corresponding figures derived from national data for 1990 were 52% and 25% for the Russian Federation, and 31% and 20% for the United Kingdom. According to spouses' reports, 38% of their husbands died from cardiovascular disease, 22% from cancer, and 14% from injuries and accidents. Mortality of male spouses was inversely related to the education level of their wives, and the age-adjusted hazard ratios for death from all causes, compared to primary education, were 0.77 for secondary education and 0.57 for university education (trend P = 0.03). Mortality was also inversely related to ownership of household items, but not to size of settlement, pride in Russia, membership in the Soviet Communist Party, nationality or self-assessed social status. CONCLUSIONS: Although the indirect estimates were imprecise (partly owing to the small population size of the study), and mortality in women was probably underestimated (owing to many factors, including poorer reporting by males and high male mortality), our results are nevertheless consistent with the mortality pattern observed in official mortality data. The indirect technique thus appears to be a useful tool to study the determinants of mortality in the Russian Federation and other populations, where reliable or sufficiently extensive data are not available.
21431819	0	a	This paper introduces a series of research projects designed to fulfill the societal role of environmental health studies by investigating (1) the dynamic and complex relationships between environmental conditions and (2) health in an urban setting. Research in this first category has revealed the existence of the combined influence of multiple physical environmental factors on health and its mechanisms. In the second category, there have been a number of studies of the integrated influence of social environmental factors on health employing an aggregate modeling of multiple determinants of health and studies of individual topics related to social determinants of health. These research projects have contributed to the formulation of specific remedies and the development of comprehensive health policies. Participatory approaches have been used to enhance capacity building opportunities and to ensure that research results reflect the actual conditions in urban societies. Healthy Cities projects and programs have been developed in close collaboration with this type of research. Urban societies have become interdependent and share the same issues globally. Further research into the relationships between health and the environment in the context of urbanization will expand the base of evidence applicable to the complex realities in modern societies.
19957596	0	a	OBJECTIVE: To understand emotional, behavioral problems and related determinants among rural stranded children and to provide evidence for further psychological support. METHODS: A total of 3944 caregivers of children in the rural areas and aged 4 to 7 years but without parents around, were randomly selected. Data were collected through Strengths and Difficulties Questionnaires (the edition for parents, SDQ). RESULTS: The overall prevalence of children with behavioral/emotional problems was 43.6% among those stranded children including 8.3% having experienced emotional symptoms, 9.5% reported to be displaying 'conduct' problems, 8.7% exhibited significant hyperactivity/inattention, 18.9% experienced peer relationship problems and 16.8% having prosocial behaviors. The prevalence of behavioral/emotional problems was significantly higher in boys than those in girls and in lower age groups. Significant differences were also found in conduct problems, hyperactivity/inattention and prosocial behaviors (P<0.01). The result from logistic regression analysis showed that factors as education level and motivation of the caregivers as well as financial support from the parents were related to emotional/ behavioral problems among the stranded children. CONCLUSION: The prevalence of emotional and behavioral problems was high among children living the rural areas but without their parents around which should call for psychological intervention.
6501638	1	a	This study was concerned with the determinants of adults' beliefs in the economic socialization of children through the use of pocket money (allowances). Over 200 adults completed a questionnaire on their beliefs concerning, for instance, how much and how often children should be given pocket money, as well as such things as whether they should be encouraged to work for it, save it, etc. The independent variables included the subjects' age, sex, education, voting pattern, religion, occupation and whether or not they were parents. The results showed that whereas there were few age or sex differences, the socio-economic class of the adults, and the fact that they did or did not have children did discriminate between the responses of the subjects. Findings were discussed in terms of the literature of economic socialization.
7241029	1	a	Differences were analysed between growth patterns and determinants of physical growth in two groups of normal infants at 24 months. Longitudinal data routinely collected in a mother and child clinic were analysed. At 24 months, 26% of cohort infants were at or below the 10th percentile for length (= 'small' infants); 98 of these were compared with 83 'medium' infants (between the 50th and the 75th percentile, for example). Excessive downward deviation of length percentiles was seen in 80% of 'small' infants. In 20% their birthweight was on the 10th percentile or below; 50% had a mother less than 155 cm tall; maternal stature was closely linked with socioeconomic factors. Of mothers with less than nine years of schooling, 70% had 'small' infants. In 95% of both groups growth attainment at two years could be predicted from data at 12 months. The known factors influencing deviant physical growth overlap with those of mental and social development. Growth deviation by itself may identify infants open to multiple risks, especially if their mothers have a low educational level. Further narrowing of the target group for specialised intervention strategies should be attempted.
17903047	0	a	BACKGROUND: To assess the inequity in seeking needed outpatient services in Iran and to investigate its influential factors. METHOD: The data were taken from a nation-wide Iranian health survey conducted in 2003. This study is based on individuals aged 15 years and over who had mentioned their need to seek outpatient care within two weeks prior to the day of the interview. The outcome was seeking needed outpatient care. The independent variables included respondents' age, gender, marital status, education, occupation, index of household economic status, health insurance status and residential place (urban vs. rural). RESULTS: Sixty-nine point five percent of those in need sought outpatient care. The rich (OR: 2.38, 95% CI: 1.64 - 3.43) and the health insured (OR: 1.62, 95% CI: 1.25 - 2.08), the pensioners and the retired (OR: 2.26, 95% CI: 1.22 - 4.20), the housewives (OR: 1.77, 95% CI: 1.07 - 2.95) were more likely to seek outpatient care than other occupations. On the other hand, people living in remote rural areas (OR: 0.40, 95% CI: 0.28 - 0.57) were less likely to seek their needed outpatient care than those living in main rural areas and urban areas. CONCLUSIONS: As in different parts of the world, differences in seeking needed healthcare still exist across different groups in Iran. Indeed, seeking outpatient care in Iran is related not only to health system functions--like health insurance and health facilities--but also on factors beyond the scope of health authorities such as economic status and occupation. This study can be instrumental for the recent five-year Economic, Social and Cultural Development Plan of Iran which identified the reduction of inequalities in social determinants of health [corrected]
17595548	0	a	Morgan, Zamora and Hindmarsh make a compelling case for a national strategy on chronic disease prevention and management. The truths raised in the lead paper are not particularly inconvenient, but they do raise a number of uncomfortable questions: (1) Why are physicians not taking a more responsible and active role to prevent and manage chronic diseases on behalf of their patients? (Physicians must recognize that it is their professional responsibility and their job to provide their patients with the appropriate level of care for chronic conditions.) (2) Why are non-physician healthcare providers not playing a larger role to prevent and manage chronic diseases? (3) Why is there a greater focus on managing chronic diseases than on preventing or delaying them from happening? (4) Have we forgotten the profound impact of the social determinants of health on illness, life expectancy and death?
12614539	0	a	The number of complementary and alternative medicines (CAMs) being utilized by North America health care consumers is growing at an astounding rate. There is a need by both health care providers and consumers to categorize CAM in order to make meaningful comparisons and informed decisions on their use. Four paradigms of health and illness are proposed that classify medicines according to the basic assumptions of health and disease associated with each medicine. CAMs classified in the body paradigm are those that work through biologic mechanisms, or in other words, target biologic factors as the primary determinants of health. The mind-body paradigm extends the body paradigm to include factors such as stress, psychologic coping styles, and social supports as primary determinants of health and disease. The body-energy paradigm assumes health and disease are functions of the flow and balances of life energies. The body-spirit paradigm assumes that one or more transcendental aspects or personalities existing outside the limitations of the material universe can influence health and disease. It is postulated that there is a hierarchical relation among the four paradigms, such that each paradigm essentially subsumes the assumptions of the previous ones, but adds additional assumptions that qualify the previous ones. Implications of this framework for clarifying many contemporary issues in health care are discussed.
18410815	0	a	OBJECTIVE: The goals of this study were to (1) determine whether level of social support and living situation predicted emergency department (ED) use among older adults and (2) identify correlates of ED visits according to whether the patient was admitted to the hospital. METHODS: Secondary analysis of a longitudinal, prospective study was conducted. RESULTS: In adjusted analyses, subjects who lived alone were 60% more likely to visit the ED than those who lived solely with their spouse. Neither type nor level of social support as measured by the Duke Social Support Index predicted ED use. Indicators of poor physical health (prior hospitalization, poorer self-rated health, and functional disability) were predictors of ED visits that resulted in hospitalization; however, these were not significantly associated with outpatient ED visits. DISCUSSION: Older adults who live alone are more likely to visit the ED. Additional study is needed to understand the determinants of outpatient ED visits.
19560371	0	a	PURPOSE: In middle-income countries, interest in the study of inequalities in health has focused on aggregate types of health outcomes, like rates of mortality. This work moves beyond such measures to focus on disease-specific health outcomes with the use of national health survey data. METHODS: Cross-sectional data from the national Health and Welfare Survey 2003, covering 52,030 adult aged 15 or older, were analyzed. The health outcomes were the 20 most commonly reported diseases. The age-sex adjusted concentration index (C *) of ill health was used as a measure of socioeconomic health inequality (values ranging from -1 to +1). A negative (or positive) concentration index shows that a disease was more concentrated among the less well off (or better off). Crude concentration indices (C) for four of the most common diseases were also decomposed to quantify determinants of inequalities. RESULTS: Several diseases, such as malaria (C * = -0.462), goiter (C * = -0.352), kidney stone (C * = -0.261), and tuberculosis (C * = -0.233), were strongly concentrated among those with lower incomes, whereas allergic conditions (C * = 0.174) and migraine (C * = 0.085) were disproportionately reported by the better off. Inequalities were found to be associated with older age, low education, and residence in the rural Northeast and rural North of Thailand. CONCLUSIONS: Pro-equity health policy in Thailand and other middle-income countries with health surveys can now be informed by national data combining epidemiological, socioeconomic and health statistics in ways not previously possible.
